,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
1,-53490,-31394,-52451,-77908,-158269,-155912,-240885,-273458,-316602,-410391,-496014,-497021,-596278,-652276,-757285,-790240,-789950,-822343,-855580,-892217,-954731,-1019548,-1045358,-1105007,-1199545,-1265563,-1367631,-1446266,-1520783,-1644348,-1668146,-1755994,-1880794,-1973249,-2068007,-2165067,-2319205,-2366015,-2469985,-2603019,-2766629,-2918052,-3078113,-3163691,-3281480,-3436758,-3563465,-3688164,-3794539,-3979242,-4054188,-4188099,-4350690,-4431689,-4628112,-4771236,-4902696,-5098358,-5244153,-5439614,-5594253,-5755875,-5872416,-5997103,-6223553,-6449132,-6614719,-6785480,-6930316,-7129101,-7285056,-7465030,-7702934,-7832026,-7984499,-8225283,-8387254,-8581047,-8841549,-9075214,-9284022,-9472370,-9697580
2,18252,-44829,-25421,-5962,-67216,-120237,-217493,-251480,-344535,-378331,-443106,-490623,-578572,-654090,-704899,-758112,-813727,-871746,-892908,-907656,-992880,-1060511,-1130546,-1202983,-1277824,-1418799,-1435651,-1498132,-1582585,-1689298,-1724541,-1816204,-1890339,-1973245,-2006256,-2058667,-2221477,-2313115,-2421600,-2532488,-2579398,-2694206,-2748968,-2840109,-2963012,-3088319,-3216029,-3362175,-3448763,-3583682,-3683863,-3775415,-3878748,-4023280,-4234204,-4383542,-4553399,-4707543,-4817043,-4954819,-5148868,-5256679,-5481358,-5604007,-5753826,-5927196,-6116408,-6303033,-6429273,-6613020,-6799808,-6987596,-7158236,-7350831,-7576166,-7773567,-7908803,-8137582,-8342192,-8527720,-8689783,-8876711,-9090934
3,-17880,-13591,-36477,-44752,-30962,-61357,-99269,-134671,-172575,-183045,-248153,-329895,-377813,-408134,-425909,-548776,-655919,-716352,-791984,-791111,-811122,-870971,-921131,-964153,-1110164,-1167318,-1250280,-1364606,-1522207,-1612678,-1705652,-1859590,-1891466,-1949065,-2067628,-2173118,-2231692,-2342188,-2455187,-2526800,-2644805,-2765313,-2902695,-3028210,-3156227,-3251753,-3404777,-3490721,-3588906,-3664548,-3826758,-3972298,-4158030,-4257513,-4431736,-4635922,-4793978,-4954536,-5148218,-5313783,-5481851,-5652423,-5839929,-6029327,-6207407,-6387991,-6637704,-6815562,-7003656,-7194252,-7330747,-7547353,-7753412,-7980482,-8250569,-8456184,-8664302,-8928145,-9128694,-9390925,-9663380,-9853244,-10144990
4,-18594,25662,1862,-64120,-99012,-130621,-199525,-234542,-225879,-287994,-260398,-295024,-344856,-416748,-521323,-578964,-685912,-714131,-779581,-847635,-886407,-959667,-1016858,-1073552,-1185001,-1268674,-1324982,-1432395,-1523877,-1611109,-1695147,-1794439,-1826127,-1881734,-2013579,-2123282,-2213723,-2328633,-2382655,-2502771,-2625490,-2783041,-2876053,-2990380,-3123512,-3259247,-3397586,-3538527,-3635400,-3781547,-3930298,-4027275,-4128002,-4282813,-4441977,-4552874,-4732037,-4899010,-5009564,-5197376,-5360147,-5481959,-5699383,-5881975,-6067170,-6254968,-6450513,-6698901,-6882322,-7080533,-7347964,-7551381,-7757401,-7966025,-8184532,-8447082,-8689754,-8908790,-9130429,-9334472,-9550468,-9846711,-10105733
5,-19308,18854,14857,-12561,-38833,-123811,-159338,-191911,-191979,-174081,-205163,-254206,-305952,-360401,-440359,-500214,-562773,-578915,-698193,-841075,-900350,-998543,-1077320,-1158800,-1242984,-1388168,-1490836,-1583129,-1624265,-1780720,-1937356,-2106593,-2177156,-2282881,-2432231,-2533415,-2650036,-2748262,-2870289,-2995020,-3079380,-3235666,-3343641,-3525030,-3688333,-3835121,-3978774,-4191822,-4309215,-4481903,-4576662,-4748952,-4929325,-5091900,-5257178,-5425159,-5602935,-5723187,-5899277,-6078071,-6234168,-6418367,-6605270,-6794876,-7001637,-7228300,-7426015,-7607894,-7848492,-8048860,-8315117,-8518746,-8709167,-8874559,-9093900,-9315943,-9557790,-9821613,-9986313,-10178721,-10424450,-10662712,-10903678
6,31496,8670,-16959,-45390,-76625,-127966,-117812,-176226,-218673,-263924,-311978,-350037,-403697,-460322,-519589,-581658,-627719,-652608,-723087,-763377,-839462,-918478,-924641,-1009136,-1132424,-1222525,-1257227,-1311704,-1410215,-1440023,-1518738,-1655631,-1843830,-2007801,-2077180,-2151137,-2272073,-2426860,-2577192,-2660538,-2792686,-2849740,-3016974,-3146414,-3289774,-3435938,-3584905,-3730695,-3830651,-3911678,-4098969,-4316042,-4481828,-4636847,-4808240,-4939889,-5112415,-5362584,-5599544,-5764817,-6000605,-6191619,-6385436,-6525021,-6731998,-6934224,-7145407,-7295775,-7508524,-7710115,-7868647,-8087692,-8309541,-8593337,-8820792,-9084216,-9317277,-9540019,-9836024,-10077495,-10323683,-10576036,-10765135
7,-71242,-30354,-125463,-211529,-295152,-330404,-300151,-266090,-310052,-356917,-406685,-459356,-514931,-573408,-634789,-734775,-801962,-809823,-885921,-943388,-1066330,-1148032,-1188255,-1275764,-1331034,-1349658,-1445876,-1548343,-1720208,-1825136,-1991348,-2112210,-2225847,-2342388,-2514831,-2586648,-2711898,-2905167,-2967479,-3101439,-3277010,-3453810,-3641800,-3750345,-3977945,-4129323,-4283605,-4440789,-4671201,-4834192,-4926225,-5164033,-5335733,-5495531,-5737943,-5838829,-6097627,-6259574,-6448693,-6707150,-6956093,-7221485,-7437933,-7559908,-7833100,-8054238,-8266582,-8410643,-8642084,-8874355,-9133113,-9434918,-9664681,-9838398,-10149716,-10464233,-10688791,-10938757,-11218724,-11468809,-11721797,-11977688,-12275131
8,14189,-82370,-193154,-223614,-323593,-337974,-377444,-392567,-388319,-352891,-450202,-526746,-543089,-612874,-676369,-673366,-742867,-815372,-914985,-993496,-1123760,-1166663,-1274520,-1365043,-1463689,-1478109,-1577642,-1680177,-1819187,-1898538,-1943251,-2046404,-2163955,-2204939,-2267278,-2474360,-2584040,-2765168,-2900739,-3121256,-3338200,-3414166,-3561749,-3712335,-3880921,-4037514,-4197109,-4304130,-4422421,-4538593,-4751116,-4913660,-5091275,-5352308,-5543805,-5732860,-5840014,-6032644,-6228277,-6380071,-6581711,-6727204,-6904397,-7165971,-7390737,-7607392,-7867985,-8036725,-8210580,-8439248,-8652680,-8934243,-9172264,-9412944,-9634800,-9854590,-10090297,-10342990,-10529684,-10788383,-11049648,-11314353,-11607590
9,-22165,-47434,-85825,-180418,-214995,-252676,-293461,-298443,-400272,-454731,-558141,-571587,-630990,-635130,-710998,-779710,-764985,-868696,-946718,-1078748,-1222872,-1247313,-1278677,-1401867,-1498508,-1664265,-1767112,-1794737,-1987485,-2161103,-2362034,-2499251,-2620716,-2818679,-2993661,-3166266,-3300144,-3437126,-3630531,-3773719,-3920010,-4069404,-4221901,-4308035,-4466738,-4697910,-4862820,-4996698,-5167815,-5372668,-5547726,-5791636,-6043893,-6214971,-6401245,-6555963,-6816724,-6973508,-7201191,-7406441,-7614795,-7855648,-8070208,-8337475,-8499539,-8724897,-8951870,-9239680,-9503955,-9749855,-9989240,-10152436,-10466426,-10697374,-10949172,-11222617,-11411563,-11699970,-12011058,-12330144,-12657761,-12931281,-13287108
10,47214,-1831,-31117,-63606,-99298,-175486,-280037,-325339,-373844,-425552,-480463,-523264,-584581,-728127,-751882,-822809,-831229,-997549,-1154646,-1303342,-1390284,-1453125,-1544870,-1639055,-1738810,-1788620,-1855606,-1897261,-2009828,-2192889,-2256702,-2347956,-2473336,-2578210,-2654021,-2789010,-2927203,-3119653,-3219115,-3285049,-3468218,-3622427,-3806197,-3966812,-4052663,-4182123,-4397925,-4571353,-4747983,-4912985,-5100170,-5286410,-5475853,-5749341,-5940180,-6186187,-6347535,-6552993,-6758509,-6970374,-7225752,-7399768,-7621242,-7845920,-8140674,-8317109,-8603255,-8769016,-9009709,-9289336,-9580714,-9831017,-10070321,-10311209,-10571121,-10902597,-11130544,-11354639,-11627363,-11903291,-12182422,-12464756,-12750293
11,-111085,-137982,-250763,-378127,-414934,-455043,-444198,-409968,-423696,-463582,-544693,-608652,-669649,-646775,-771749,-924028,-932798,-1044145,-1194921,-1359620,-1449276,-1587705,-1683968,-1744764,-1827740,-1933912,-2116248,-2141160,-2257241,-2389749,-2538686,-2670135,-2723900,-2800222,-2936123,-3059407,-3201914,-3349003,-3466312,-3618728,-3793910,-3974541,-4136867,-4383292,-4645524,-4894365,-5098153,-5277657,-5367045,-5604655,-5881910,-6073964,-6175843,-6374504,-6576467,-6781734,-7082421,-7294294,-7509470,-7731062,-7961545,-8186631,-8415019,-8708309,-8943304,-9181602,-9423204,-9703909,-9952116,-10267967,-10522781,-10780898,-11049103,-11304480,-11572506,-11907926,-12182559,-12479937,-12685653,-13044460,-13349946,-13694238,-13988689
12,-24308,-81889,-131188,-103597,-216086,-257410,-385019,-469705,-533251,-610141,-587492,-652259,-717405,-882781,-1038763,-1130074,-1208833,-1331099,-1478467,-1567435,-1703275,-1775906,-1863808,-2047323,-2223996,-2400483,-2516095,-2632288,-2751884,-2777817,-2838254,-2935682,-2982191,-3179426,-3263948,-3407367,-3644604,-3821728,-3975356,-4136703,-4247785,-4399599,-4537982,-4754582,-4928628,-5106078,-5220897,-5405153,-5591699,-5782762,-6067092,-6314649,-6515920,-6817197,-7025275,-7236756,-7451640,-7713388,-7974087,-8199181,-8348473,-8563919,-8799222,-9050400,-9292510,-9488939,-9737855,-9990173,-10247818,-10506943,-10812099,-11061997,-11331331,-11562405,-11781556,-12061100,-12319315,-12605665,-12932124,-13141368,-13367263,-13667226,-13970592
13,-25022,17881,68930,33398,-93411,-135949,-181990,-300123,-353171,-415145,-424004,-526021,-531430,-529315,-603381,-694994,-709170,-793746,-963707,-1055289,-1193703,-1364929,-1467020,-1572615,-1645865,-1758466,-1874570,-1938563,-2155988,-2314948,-2466118,-2599738,-2662840,-2803467,-2947596,-3095228,-3246364,-3317404,-3475546,-3587644,-3734549,-3918503,-4001188,-4176845,-4356006,-4538670,-4788095,-5042935,-5243243,-5423458,-5623637,-5827320,-6034506,-6278762,-6588041,-6805737,-6981396,-7114595,-7291565,-7433485,-7668696,-7907410,-8214807,-8558990,-8808213,-9060940,-9317170,-9576903,-9840139,-10142873,-10322838,-10500941,-10692812,-10973564,-11257819,-11579716,-11788277,-12059167,-12358224,-12758211,-13063485,-13367060,-13767018
