1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-485673,-493260,-461312,-425480,-434013,-439981,-433166,-420741,-432976,-420464,-384679,-371928,-357643,-353463,-363500,-340326,-328291,-326828,-324155,-297522,-269139,-257820,-245706,-211494,-200606,-189860,-206239,-202093,-197224,-200803,-190775,-160536,-129230,-125751,-88889,-78576,-43831,-34805,-13628,-4889,-571,30926,30459,38625,39289,47169,81643,101155,112742,136884,144047,165619,186835,196407,202997,209444,242334,248495,250024,255898,233904,217557,237153,262093,282102,287176,307505,312233,329106,333547,310538,312272,307931,311799,330036,333414,316423,345538,335403,310914,296860,299582,289329
-470328,-458267,-443806,-443641,-429476,-415458,-406708,-382461,-368886,-331103,-327415,-295312,-282327,-281481,-276752,-264210,-259961,-247714,-259708,-222936,-211512,-221359,-209850,-205827,-182884,-164703,-153784,-117354,-79655,-42987,-33166,-11547,7340,12854,40657,50248,54208,63504,72652,81653,110146,118852,99821,88212,84908,90594,98562,117112,117872,125397,132775,163077,170160,177095,168241,194789,186391,220149,201616,230662,236564,242319,234490,249125,254437,259601,260168,265038,241893,257698,262125,266404,270536,274520,278356,299148,316118,334417,337664,338833,341784,344588,354531
-473178,-468797,-461661,-449374,-434797,-424250,-424713,-406904,-414691,-400873,-387208,-373694,-360332,-376003,-362944,-351586,-356164,-326347,-313896,-316340,-307476,-295480,-283637,-271945,-271630,-272848,-242064,-215065,-193333,-182552,-171924,-147890,-129366,-127915,-117894,-132858,-123140,-85198,-98591,-112619,-111863,-82875,-90003,-69146,-84154,-50176,-18020,-9972,-3754,3989,12419,19859,12332,-1908,17499,24332,31013,14169,1097,267,6340,42203,47973,53591,33953,30925,42647,27063,31922,36629,57709,67639,48397,30587,58215,62011,65656,86043,65899,82315,85351,84520,99460
-472444,-487211,-496236,-481091,-456606,-454031,-423075,-408555,-404669,-391243,-397748,-383853,-370114,-384864,-371437,-365120,-347928,-334969,-291082,-304321,-262072,-271314,-264294,-252272,-218413,-206704,-211190,-174117,-188117,-177032,-192533,-154201,-161975,-178044,-141850,-135290,-125298,-115462,-104297,-97057,-90659,-89733,-80678,-87802,-109751,-101164,-64089,-26360,-34309,-4958,28988,51403,70967,47423,55958,93772,126945,133659,153950,189039,186463,199688,202165,207942,197375,199402,178091,183243,164448,153000,157684,162212,166583,188096,192156,196059,194613,198203,193488,196767,184707,187673,192389
-500513,-490161,-474441,-458881,-443482,-453224,-438145,-418554,-375620,-360400,-345963,-326991,-312875,-298919,-284492,-270857,-241024,-214188,-221797,-227913,-215080,-204251,-217336,-231721,-243348,-231318,-219447,-204560,-205460,-214217,-235027,-240359,-229451,-196208,-214252,-190757,-180490,-164620,-152816,-157443,-169649,-130321,-121017,-86546,-61838,-53016,-38958,-38922,-23824,-15643,11418,45712,36001,42432,28917,36135,27885,4064,10801,-9405,-2989,24378,30474,36409,56045,45970,66573,56709,63607,61812,86150,90747,114256,132940,137111,141121,144971,148660,152189,155558,158766,164563,162897
-490343,-474038,-452924,-454199,-438388,-419210,-416321,-372903,-341786,-344392,-329569,-314911,-300417,-275641,-279228,-275041,-242167,-259730,-235834,-211122,-175940,-153935,-153818,-141137,-128620,-124364,-112177,-100154,-104180,-92487,-80958,-53139,-41939,-30904,-25047,-40088,-29547,-3024,11397,21443,12412,50448,55322,64710,99993,113116,153832,162561,167930,195379,203614,209346,243662,251403,269290,300616,336002,343084,329591,336344,320498,350307,356566,375115,357114,338957,359204,377846,361391,343488,339061,372787,377398,388871,371321,375438,407693,411481,415105,441026,417279,422929,425894
-512771,-496042,-479481,-457416,-445434,-458957,-451235,-435520,-443282,-427905,-417220,-402180,-389984,-399144,-360200,-345837,-335899,-321874,-299502,-316978,-285694,-279923,-242710,-241427,-228585,-217924,-234700,-222364,-210197,-198200,-154456,-173945,-183111,-161111,-174814,-176879,-166064,-126002,-115525,-74862,-44888,-34918,-8322,1310,14154,48129,57254,66210,51716,60334,85917,83264,67478,78069,57753,65357,100545,107811,115272,99944,76593,62071,102110,108362,90877,96670,102415,98916,135407,140645,158690,163590,167841,166445,180175,184399,218766,224666,208087,211636,234704,237915,235530
-481046,-463892,-415734,-382205,-365571,-352540,-358319,-342205,-335389,-319622,-291043,-284941,-290037,-274963,-271306,-271907,-279813,-260006,-245798,-249795,-239810,-214240,-232017,-239159,-219332,-220396,-204816,-188830,-176355,-181940,-178363,-166408,-154625,-120190,-142361,-131099,-120010,-86002,-95909,-85339,-108411,-98188,-88138,-78262,-94338,-70940,-61583,-80254,-71244,-62408,-77906,-84931,-74566,-66422,-39686,-31889,-50459,-43008,-35731,-32135,-25204,-18446,-11862,3368,9606,15671,21562,4433,9978,15349,25657,1002,13670,27118,6303,40751,44909,83455,87267,110409,113874,126904,135438
-472302,-469874,-468653,-451430,-434385,-414147,-414714,-392501,-393099,-376941,-350464,-341224,-325599,-310151,-293314,-271177,-223473,-209771,-211438,-200319,-186115,-172088,-175917,-162245,-148751,-157890,-149143,-155202,-109792,-127978,-115549,-112413,-100339,-88443,-59429,-47888,-66767,-41332,-59737,-48906,-56269,-30052,-54472,-44429,-21811,1106,4158,13568,-4666,4390,47186,55886,79302,75792,106942,124387,127265,134900,129771,163202,186125,193050,199797,217172,223564,260629,238636,244495,250177,255681,275245,306878,318634,338942,343559,330070,335848,339932,343838,327706,331257,367672,370868
-481816,-463814,-475882,-462849,-445472,-450257,-433164,-419906,-397253,-380706,-364340,-348157,-332155,-299852,-315086,-299629,-293569,-245606,-220406,-188026,-164245,-149880,-135696,-121694,-123238,-109600,-62980,-84140,-71047,-58136,-29541,-16994,25634,37817,49819,29497,22320,59134,85602,96694,91904,102633,113180,105044,113065,104913,129086,148323,151776,137197,135877,144788,147510,134768,143132,123509,131510,149724,154802,162258,196055,203147,229007,226415,243456,261368,267551,269403,281321,290123,279317,296666,301758,311539,337986,342532,317165,299772,317220,311659,347547,351002,380588
