1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-746986,-744462,-741508,-738584,-730468,-728270,-730030,-722626,-715323,-714885,-710580,-702849,-697857,-697858,-689692,-688422,-689232,-687951,-684737,-680493,-674971,-670564,-667299,-662918,-665239,-662347,-660116,-662760,-660589,-654104,-651994,-644371,-642952,-640932,-639125,-641327,-637792,-635893,-629191,-632079,-630270,-628492,-626744,-625026,-618305,-611031,-610890,-609293,-606493,-604955,-603448,-605759,-599040,-597623,-598080,-596723,-595397,-596437,-595171,-593897,-597628,-596452,-592481,-591366,-585464,-584637,-585892,-581733,-580768,-582862,-581958,-581084,-578977,-583294,-582511,-581757,-586439,-585746,-582776,-587280,-589759,-589186,-588644
-746843,-743717,-740218,-737155,-740142,-737143,-728401,-725465,-723509,-718991,-715895,-714424,-711646,-703469,-700754,-698071,-699979,-691701,-686929,-683627,-676446,-673952,-675570,-673426,-666809,-660037,-660742,-663011,-662897,-654597,-652387,-652394,-646293,-644125,-643797,-641138,-641467,-633340,-635260,-627458,-619588,-619917,-618086,-622384,-615391,-613654,-617175,-616408,-608469,-606859,-605280,-603150,-602327,-600843,-599391,-600190,-603008,-600874,-594417,-590742,-585193,-583962,-578119,-576951,-579288,-575670,-576743,-574246,-573236,-573215,-572268,-567235,-566351,-565498,-559882,-554702,-553944,-557376,-553422,-549044,-548413,-547037,-542066
-746700,-740737,-737503,-734302,-731134,-732244,-729142,-726431,-723395,-720859,-720620,-711544,-707528,-700684,-703019,-695850,-693078,-690339,-693076,-695931,-693291,-690314,-689712,-687171,-684663,-676822,-680151,-677742,-675366,-673023,-670712,-668435,-666191,-663980,-663770,-661624,-659512,-655183,-646751,-644738,-642742,-645432,-646221,-644340,-642492,-640677,-640201,-638452,-633908,-634487,-632837,-634235,-634615,-633064,-634768,-630777,-629325,-621459,-620073,-618720,-622246,-620958,-624804,-625789,-620263,-614682,-616864,-621014,-619958,-618935,-613280,-612323,-612794,-608360,-607502,-606677,-605885,-605126,-604400,-608547,-602009,-601382,-601209
-744742,-735946,-739386,-732510,-732810,-729540,-726303,-718157,-712883,-706416,-709437,-706373,-703343,-699738,-692499,-683560,-682123,-685106,-679680,-673763,-671008,-668288,-666126,-661480,-655671,-653089,-656924,-654411,-651932,-651801,-649391,-649516,-648554,-646247,-643975,-647523,-649716,-650766,-651542,-649486,-650302,-654521,-656827,-658310,-651393,-644820,-642469,-636211,-634420,-632664,-630943,-622449,-624467,-628706,-628786,-627237,-625977,-624496,-623050,-621789,-620433,-617298,-615990,-618332,-617018,-621175,-616475,-619881,-616704,-615637,-611027,-610028,-609064,-608135,-602750,-601889,-597525,-601382,-600625,-599653,-600196,-597131,-596512
-746217,-742667,-739153,-735675,-734380,-724198,-720827,-717493,-714194,-716309,-707924,-698663,-695507,-696887,-690175,-687127,-684115,-681139,-682994,-680089,-682291,-676404,-674049,-671288,-668563,-670694,-668041,-661707,-656498,-653952,-651442,-654128,-651690,-649287,-646921,-651245,-648950,-646691,-644468,-642281,-640129,-644769,-639315,-633570,-631562,-629590,-633979,-633863,-624884,-622984,-616010,-613846,-618860,-622070,-623517,-621904,-620782,-618293,-616787,-615317,-608089,-601160,-597803,-596476,-597151,-602377,-604822,-598953,-592010,-586540,-591158,-588868,-593894,-592533,-589198,-592010,-587316,-592718,-588251,-592642,-591925,-593951,-593306
-748174,-744483,-747366,-750442,-739664,-742383,-739332,-735865,-732434,-729041,-718799,-715481,-712200,-714853,-709053,-705791,-702363,-699268,-696211,-697593,-694610,-691664,-688756,-685885,-683051,-682283,-677834,-675112,-674299,-671651,-668938,-664522,-661987,-663513,-665065,-662642,-656370,-654021,-646925,-648525,-641978,-637790,-635628,-631918,-625139,-622295,-618120,-616144,-617374,-615472,-611228,-609401,-604014,-608867,-607152,-606927,-604832,-606983,-605417,-605370,-606458,-598678,-591149,-587491,-583717,-587790,-586522,-585292,-583440,-582284,-577270,-580522,-583325,-582318,-578999,-578941,-582658,-585538,-588530,-581463,-573451,-576545,-583330
-740338,-733396,-729602,-725846,-728711,-725033,-720160,-713358,-706869,-709095,-709764,-706319,-697807,-692553,-689448,-686157,-682905,-672230,-669056,-665920,-663904,-657562,-658854,-655873,-647946,-645976,-645054,-635454,-632185,-621723,-613732,-616170,-614414,-608423,-605868,-603351,-602861,-598255,-600300,-590630,-590939,-588655,-586161,-583954,-581786,-585961,-590244,-580687,-573733,-577848,-575913,-566377,-561181,-566503,-564722,-555266,-551196,-549531,-547905,-541945,-540396,-544426,-546013,-544040,-541970,-540615,-545142,-550802,-545944,-545061,-543899,-542297,-541213,-537786,-536779,-535811,-534882,-533992,-535869,-535056,-534282,-533546,-526200
-747112,-747687,-749599,-746586,-742733,-745237,-743777,-734092,-724494,-723098,-719485,-718410,-714004,-714286,-710788,-711658,-704475,-694568,-688407,-685155,-681944,-678773,-675641,-672550,-672107,-667138,-657262,-651585,-646529,-635657,-624851,-629691,-619418,-616728,-614079,-611469,-604331,-601802,-606900,-611101,-608693,-601892,-605004,-606093,-603845,-606925,-604757,-608376,-610826,-608779,-612618,-610651,-608724,-606595,-604748,-604590,-602824,-600177,-598491,-596845,-595239,-589059,-587533,-589049,-589466,-584302,-580618,-575851,-573073,-571829,-571199,-570035,-574961,-568581,-567623,-573796,-566487,-571631,-574908,-575599,-572775,-572012,-571290
-745843,-741727,-737269,-733237,-729531,-725582,-720548,-715542,-711717,-709921,-709276,-701735,-700583,-702458,-698883,-695349,-689049,-689034,-678654,-681898,-671247,-667963,-656452,-659073,-655913,-654551,-654676,-652038,-647797,-644846,-644342,-641474,-635189,-632404,-626986,-626382,-623722,-627287,-628845,-618459,-621872,-619393,-616982,-619269,-617360,-614984,-612739,-608206,-607065,-604945,-606641,-604604,-606208,-607283,-603690,-601819,-599990,-594560,-585445,-583740,-582078,-580643,-581879,-577267,-575770,-581269,-579855,-583206,-584337,-583048,-581801,-580596,-578750,-582502,-578183,-582046,-573134,-574522,-580159,-576875,-569634,-568844,-560892
-737821,-736281,-738281,-741933,-744256,-732833,-728791,-724791,-720835,-716922,-718250,-717241,-713457,-712431,-715499,-713593,-709981,-706412,-710863,-707380,-698397,-692980,-689626,-679096,-683445,-678741,-669350,-671132,-668036,-662892,-659882,-663154,-664881,-666461,-661616,-667142,-672856,-668567,-665901,-667711,-667985,-665448,-667183,-660576,-658168,-660054,-657732,-652628,-646059,-635768,-637436,-642332,-640268,-632039,-636600,-634665,-640555,-645678,-643872,-642109,-635322,-639356,-638750,-639420,-643001,-638163,-636701,-629213,-627837,-626504,-625214,-623967,-624070,-622149,-618027,-624131,-615495,-611059,-611632,-610729,-609869,-607699,-604561
