1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-521824,-507085,-491855,-488914,-423845,-360736,-304685,-290231,-275933,-210327,-196340,-182508,-220128,-227605,-242427,-182809,-136719,-77404,-91041,-80120,-76774,-48205,-89037,-33161,-21350,-9694,144,34331,-2902,8132,44136,54860,82784,81612,141742,82528,22355,32146,101152,179199,157403,166572,175586,141959,151976,125811,134203,99948,108029,181142,198260,160367,241919,216823,223972,215387,222226,228909,235436,223279,223900,229961,235867,197109,250537,192316,173320,178449,183422,247284,251947,292109,348774,427155,392066,395952,399681,388780,321806,395193,398301,401254,382756
-539397,-464552,-405939,-413568,-397047,-381604,-408943,-406483,-391528,-364163,-313681,-377927,-363622,-419106,-417144,-403327,-389672,-376180,-404332,-456886,-443882,-467374,-423897,-384244,-368458,-356266,-344237,-302975,-244062,-232520,-152303,-141086,-166263,-155371,-144642,-103686,-112375,-102134,-92056,-19035,-79979,-53554,27076,113814,122917,123499,94792,52018,78651,154853,162981,209626,217125,193838,201315,287742,222791,288951,312356,259506,242715,249054,284691,290705,230456,230729,299929,305293,323384,328423,289775,229224,233775,213590,139637,143701,219847,266638,238550,219408,222659,297027,373953
-407992,-391192,-374561,-358100,-341809,-304610,-288658,-272876,-205831,-155883,-180058,-114964,-100031,-89732,-31398,63359,77614,144661,78140,75444,89020,102426,179763,157980,90770,113593,126151,175739,187957,200006,209999,221708,167108,178478,156375,167406,103607,142132,204998,241952,252134,183344,199735,234785,244288,188434,245171,330070,397577,473878,539502,602858,572703,518033,525839,565916,588755,596052,667521,663175,639124,653852,660300,666579,749622,740326,729620,690355,630458,699720,689457,635219,661919,666501,670913,715695,635829,639732,671261,727016,665375,668600,601297
-503478,-484769,-529471,-512317,-451465,-353783,-337160,-340507,-248689,-222935,-163314,-147575,-198890,-269097,-186077,-171045,-156190,-141512,-127011,-74654,-60506,-46536,-114750,-37999,-24559,36304,112118,125028,137760,69430,81809,159017,171042,106357,118028,44478,55796,104525,115489,160626,86289,111398,40464,1289,11192,107788,36058,-19061,20870,-23535,-14693,-8704,-216,15746,23880,31838,55762,131711,139139,216169,223243,230140,312059,321323,378873,307653,320873,326709,332368,370572,375878,381006,382894,466893,446230,453675,478327,482395,515114,537896,618419,644660,610734
-460443,-416847,-398816,-462803,-445140,-427662,-410367,-393256,-449762,-464827,-390653,-374278,-358087,-342080,-291921,-276282,-329703,-314432,-325025,-310122,-212865,-123976,-109625,-28462,-87036,-73237,-88690,2643,-37373,-76264,-63385,-50690,-51930,-57184,-90790,-78831,-36075,-24484,-13076,46639,141028,202422,213093,274406,297538,251491,261426,271177,295532,230550,239749,197254,239866,173715,224307,232586,240682,262240,231758,226702,234061,280103,287095,293902,300526,306965,258818,264889,319849,325552,414695,420031,425182,403084,494937,499537,524397,557279,561327,530678,620948,624443,612395
-389635,-370713,-261348,-242808,-224460,-206303,-99468,-81693,-35201,12508,29710,141649,125706,142334,158771,131862,180750,116913,43248,58729,36620,29114,44023,58739,73265,87600,53502,67454,81215,3957,-38932,10271,23268,110239,122853,135276,240957,252998,189948,201607,213074,191497,202582,213477,201127,279028,363447,373577,383516,392096,471214,480579,489753,498736,579475,588076,596485,564623,605709,541656,549301,556755,560794,606761,613642,620332,626830,612135,670042,733454,739188,781664,787016,845609,887971,801031,725048,740857,743169,747183,761967,733060,662892
-480173,-523200,-452049,-432817,-454952,-405973,-432174,-422821,-489339,-471296,-493718,-434971,-483332,-466083,-451943,-435090,-418435,-401978,-300993,-284933,-221720,-241360,-131028,-37827,-22758,-7888,50251,64725,79001,72520,97813,111493,144472,245885,258971,265762,278451,346641,358934,407060,493458,525189,454697,468423,523942,599335,610041,620550,630083,640195,731308,741023,702896,718401,695490,704412,670659,705848,715337,821286,829217,852228,790968,798304,805442,748934,764947,771490,777835,797358,803306,867815,904621,909974,915129,920086,987783,1024834,1029196,1033360,1126604,1130371,1178713
-558229,-537893,-566595,-492378,-487427,-467913,-448604,-416218,-473544,-415742,-311728,-253261,-232277,-185850,-223930,-206469,-205649,-143824,-86430,9267,-42911,-26684,23461,111217,189173,204579,219780,200066,214856,272196,286575,300749,314717,231029,244587,323930,397914,315491,269604,282134,265620,294878,290975,302683,398144,356776,459736,470623,481304,497598,477950,590129,572346,582000,495556,504799,488940,497773,574674,583096,505488,513499,451636,481330,488724,495914,502898,509677,516250,522618,621801,627758,605771,586737,581363,586498,517533,565004,569523,529736,485661,489564,493261
-524731,-401502,-314085,-349404,-378926,-358733,-337092,-317325,-268190,-248848,-229718,-153970,-88514,-35721,-17441,40169,133401,129377,68283,44782,95340,82866,188591,294130,368065,384007,399736,382509,375134,333717,301726,316392,330846,310144,324173,337989,377389,390780,362077,375043,385315,383114,477533,489649,585313,597004,645272,711565,644896,666878,574046,584461,594664,531519,541297,603882,599238,558800,574403,526745,595487,505176,435093,441325,346989,354428,438893,464888,412516,419105,442824,448988,454940,513225,446454,451768,456869,526688,566055,492664,496915,446986,460947
-431323,-438938,-367262,-289516,-268425,-185256,-117470,8912,30978,-12004,-45912,-120537,-101203,-168604,-117602,-98928,-80473,-50689,40186,57981,66913,28668,114107,91484,108181,200121,180117,167784,183602,199343,199749,214908,156324,171043,169055,222526,236587,165584,179206,192607,205789,218752,231494,270153,175686,160482,260909,378658,315496,326700,375945,488193,498739,509065,453387,463274,489455,498902,425090,434098,339036,322865,331213,332158,340067,347757,363927,386171,420494,405688,396048,321481,260155,221038,314335,266526,378739,441497,496716,501330,446607,450782,543843
