1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-4895629,-4793346,-4705093,-4608376,-4501523,-4411627,-4319781,-4230022,-4142350,-4052469,-3968973,-3887563,-3806736,-3727330,-3652183,-3585367,-3512680,-3443795,-3389424,-3335276,-3262302,-3212991,-3158712,-3113839,-3061460,-3009274,-2959176,-2911166,-2862983,-2805691,-2763943,-2724282,-2686708,-2658410,-2625012,-2605649,-2564723,-2533909,-2508860,-2485898,-2465024,-2433941,-2417241,-2403577,-2403087,-2390264,-2381914,-2375652,-2371477,-2359485,-2367973,-2379544,-2383719,-2378557,-2386907,-2390807,-2403332,-2422758,-2439458,-2462967,-2483841,-2515860,-2540909,-2574581,-2603805,-2647604,-2683299,-2718785,-2747770,-2787431,-2829179,-2886168,-2932091,-2970270,-3028740,-3080926,-3136769,-3193129,-3251577,-3312112,-3374734,-3428286,-3500646
-4865133,-4734527,-4582751,-4443620,-4326731,-4214626,-4090165,-3962826,-3849052,-3734465,-3637672,-3525017,-3415251,-3308373,-3204384,-3115426,-3017214,-2929316,-2833143,-2725428,-2651316,-2557940,-2473103,-2387867,-2327473,-2255258,-2185932,-2120166,-2056617,-2000796,-1943025,-1892698,-1842631,-1789146,-1742929,-1699600,-1657889,-1600494,-1565831,-1534057,-1492732,-1466735,-1443626,-1441348,-1424017,-1423404,-1411850,-1403184,-1397407,-1409760,-1397399,-1400288,-1406065,-1419060,-1413853,-1439106,-1465979,-1480053,-1503162,-1529159,-1567142,-1598917,-1633580,-1686150,-1706346,-1739760,-1785978,-1846163,-1900720,-1975115,-2013713,-2093982,-2166644,-2214254,-2283580,-2337239,-2427419,-2505411,-2585843,-2669612,-2759600,-2865745,-2978216
-4825744,-4664603,-4522384,-4356623,-4204853,-4043266,-3898568,-3759581,-3602245,-3467413,-3357850,-3229595,-3110021,-2999368,-2893867,-2776243,-2664431,-2545583,-2454618,-2343085,-2228705,-2149419,-2057338,-1973363,-1876608,-1794393,-1715467,-1639830,-1564285,-1495225,-1421844,-1359361,-1300166,-1233453,-1180836,-1131507,-1079029,-1053783,-1014320,-978145,-944087,-914490,-888618,-849084,-829353,-812910,-795332,-807391,-804126,-819679,-819679,-834609,-841186,-851052,-864206,-898859,-918590,-944230,-951018,-980615,-1026016,-1062191,-1101654,-1134327,-1162011,-1211340,-1254120,-1317398,-1376593,-1423921,-1497473,-1566533,-1638882,-1714519,-1794118,-1892464,-1996525,-2105104,-2197184,-2289008,-2387005,-2488951,-2601053
-4860462,-4697802,-4551143,-4404649,-4257507,-4104429,-3980663,-3859804,-3731477,-3606206,-3465478,-3346317,-3251713,-3152074,-3042079,-2935141,-2817330,-2716502,-2639006,-2544288,-2460327,-2386176,-2300624,-2196518,-2130314,-2074624,-1991584,-1921309,-1854091,-1804799,-1743691,-1685638,-1610098,-1558156,-1514515,-1490459,-1457132,-1417411,-1387228,-1338699,-1308145,-1295238,-1283745,-1263209,-1251783,-1241675,-1229453,-1220287,-1232295,-1229240,-1247881,-1272346,-1276554,-1285720,-1297941,-1313218,-1331551,-1337925,-1362368,-1401342,-1449249,-1482859,-1499940,-1539660,-1591302,-1637133,-1673492,-1725433,-1780430,-1832090,-1893198,-1957361,-2024580,-2104575,-2164603,-2225700,-2305140,-2374811,-2460362,-2530066,-2627399,-2742000,-2820824
-4802576,-4614480,-4406067,-4220488,-4038858,-3861176,-3687442,-3503807,-3337970,-3161872,-3003932,-2849941,-2699899,-2553805,-2437215,-2299018,-2164769,-2027880,-1901528,-1793339,-1701807,-1603881,-1481926,-1375317,-1262904,-1164192,-1091193,-988796,-901929,-815073,-726458,-651437,-595405,-531589,-488429,-406321,-345788,-276638,-243951,-204444,-164959,-119613,-90918,-63278,-13878,27587,64031,89562,84108,89844,89844,61085,47967,36121,20327,-6118,-40951,-40986,-48481,-84017,-123502,-166936,-220109,-294739,-350017,-430638,-490352,-557476,-620626,-675168,-759003,-841921,-918578,-1009394,-1088974,-1186432,-1277493,-1365699,-1487882,-1610263,-1735928,-1858331,-1976994
-4782952,-4562632,-4354266,-4150241,-3962863,-3762464,-3571462,-3384800,-3202480,-3033883,-2840165,-2696763,-2515312,-2384426,-2228151,-2063053,-1936891,-1794846,-1632128,-1526453,-1370519,-1244631,-1142341,-1025135,-933530,-840237,-716665,-618367,-516119,-424959,-307294,-230594,-167836,-116268,-46812,18302,102208,158641,186016,229272,245791,262367,304586,320428,347217,368922,386286,387728,391851,396192,396192,391851,369684,329679,312315,275311,243203,191762,165138,133968,109720,61970,9878,-54573,-105605,-170720,-222689,-295040,-373177,-432486,-528274,-623241,-697200,-776397,-855687,-988902,-1073416,-1207043,-1316658,-1470100,-1600329,-1708346,-1867095
-4791350,-4586873,-4381888,-4178167,-4012308,-3797435,-3591601,-3412162,-3236896,-3038952,-2879521,-2744915,-2586341,-2430235,-2255445,-2118478,-1947032,-1809323,-1697353,-1567990,-1425971,-1304954,-1181581,-1049239,-951547,-847222,-744594,-656730,-563458,-474623,-400987,-336787,-261673,-190732,-126962,-64367,-5945,48304,123794,189640,224289,273790,314495,343706,397325,418190,434882,466251,487800,491973,501841,489015,480669,472036,455344,461349,457102,427891,368729,348350,306620,267576,211250,179704,123029,43662,-4978,-75654,-175925,-269535,-353979,-413853,-510239,-615202,-740440,-846750,-959144,-1071815,-1198864,-1319881,-1445071,-1573450,-1706986
-4825765,-4612508,-4421232,-4207069,-4006297,-3826977,-3647395,-3476045,-3299447,-3136066,-2983997,-2814359,-2662933,-2541526,-2382837,-2243366,-2093589,-1989001,-1861484,-1737953,-1610931,-1468426,-1345142,-1237550,-1133943,-1029131,-933494,-820462,-715581,-637344,-557646,-481933,-404635,-336891,-273133,-213360,-157571,-104344,-75674,-30599,21386,53833,85712,136258,160167,180092,213245,225199,233169,252656,249918,256755,221249,209295,181290,180341,154767,126872,76595,68750,20241,1098,-46721,-85163,-119564,-182377,-227213,-294956,-379641,-463241,-549648,-634560,-699696,-791349,-880090,-979713,-1083320,-1187703,-1307917,-1423479,-1553178,-1658062,-1785579
-4806483,-4580879,-4370404,-4149949,-3952079,-3777945,-3591132,-3398032,-3236791,-3039755,-2864359,-2666186,-2518066,-2353152,-2192118,-2033733,-1884646,-1719321,-1594203,-1480942,-1373336,-1246174,-1138991,-1040560,-917090,-807464,-706062,-583162,-486693,-369179,-281481,-198168,-100821,-29358,60656,100881,167368,224371,268770,343561,401096,462097,511592,542286,590497,629236,646776,668677,657520,642080,658195,625057,629429,591161,573622,541213,514904,491812,439786,400322,371669,332045,260719,195959,160499,109641,39482,-21572,-103765,-187078,-274776,-382526,-478994,-562759,-664304,-803015,-903430,-1042575,-1193381,-1320543,-1452090,-1588021,-1734158
-4684888,-4419622,-4109969,-3837116,-3608414,-3353058,-3069857,-2820225,-2560350,-2306277,-2039757,-1813347,-1613037,-1369067,-1160073,-956884,-759501,-543354,-358550,-145731,28430,214699,416258,541042,691982,837117,977366,1126259,1252598,1350524,1466631,1558094,1701581,1771678,1830849,1917930,1984934,2061741,2104475,2174964,2244191,2321585,2347339,2387977,2453811,2504644,2488035,2471445,2450716,2462317,2451860,2446055,2454174,2469824,2419947,2358343,2342500,2301862,2293339,2241090,2219206,2155347,2119625,2058903,1952990,1850944,1788803,1686122,1581625,1457841,1341733,1219820,1092101,958577,819247,674113,547526,429828,301900,164779,-33953,-239408,-444316
