,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
1,148626,299057,429310,591960,709751,849464,1017584,1151938,1311385,1437182,1547132,1670768,1791725,1910003,2045913,2144539,2254778,2362338,2467219,2598909,2726483,2819361,2929505,3039140,3099534,3185658,3235746,3324359,3370023,3469667,3542394,3612442,3648247,3712936,3774946,3813477,3891562,3909602,3979398,4028010,4055583,4098837,4165289,4203184,4238399,4294601,4324457,4351634,4400906,4422724,4473030,4489490,4541130,4568987,4577409,4549692,4541239,4541622,4539325,4562746,4582738,4593553,4588984,4589897,4588604,4567551,4543819,4503513,4474422,4442652,4412862,4386608,4356921,4313113,4267945,4200864,4170532,4117327,4040940,3992075,3930831,3866908,3833344
2,197513,422019,624506,902228,1118392,1305961,1532534,1742775,1951277,2106029,2297444,2484146,2667441,2846675,2983377,3154491,3321544,3484537,3620123,3774995,3913731,4051937,4194629,4276938,4411509,4542019,4658881,4781271,4899600,5049099,5118371,5224519,5326608,5431936,5525903,5563969,5621030,5742828,5820554,5858201,5927806,5993351,6013153,6070577,6123941,6173245,6228549,6323960,6355813,6388875,6412011,6436953,6510564,6527385,6540146,6605917,6610558,6624071,6650055,6642444,6680750,6665089,6645367,6621585,6593743,6541337,6519757,6479734,6480794,6407856,6329726,6273461,6213137,6134564,6013383,5987431,5910865,5835231,5808372,5719625,5678683,5532478,5378400
3,205026,405329,614503,852413,1043884,1241466,1446118,1638579,1813907,2005776,2152982,2317607,2478665,2666292,2822470,2972824,3121901,3306932,3446583,3582666,3715182,3844130,3981218,4125847,4244091,4391263,4537184,4644726,4790176,4890582,4987238,5080508,5166976,5257600,5372372,5451371,5526803,5598668,5700240,5780218,5834982,5893813,5940398,6027422,6111123,6203195,6242950,6279137,6311756,6359055,6384539,6411892,6430241,6445021,6456234,6463879,6467957,6457410,6427618,6448766,6438572,6424153,6356505,6362425,6310823,6282791,6252317,6217149,6158182,6115878,6108510,6059072,6006784,5899970,5819888,5731996,5621991,5501289,5389697,5311716,5269509,5157182,5057169
4,307777,552994,833700,1075494,1316846,1544591,1742696,1965733,2180376,2390651,2606030,2863182,3037453,3230257,3373309,3590623,3750337,3925670,4096635,4263233,4425463,4583325,4728016,4819903,4958797,5100102,5236126,5403831,5573495,5738472,5911478,6069758,6241963,6347412,6498510,6619613,6661897,6692029,6725594,6810551,6895321,6965829,7031969,7112860,7170265,7223301,7271970,7306853,7395993,7468225,7442269,7520613,7496565,7526663,7540390,7538367,7485579,7486203,7456801,7448690,7446077,7486321,7432576,7406993,7422350,7400258,7408960,7386142,7346644,7294856,7297882,7209846,7144954,7058918,6987682,6867580,6785217,6689073,6566037,6448413,6374592,6223853,6168278
5,397267,787582,1183165,1531544,1984775,2311603,2736852,3165406,3422901,3698629,3996989,4266532,4621584,4897482,5279453,5548280,5863474,6086231,6452944,6641950,6853753,7030942,7275262,7461104,7634705,7880961,8165765,8317230,8423240,8616207,8804909,9003087,9177884,9329710,9467484,9532803,9679792,9819829,9882497,9943179,10062359,10111167,10186262,10370260,10461631,10508513,10585980,10677602,10816504,10851856,10901514,10944220,11018696,11047498,11093392,11108290,11132754,11071149,10986254,11019507,11045842,11000922,11005019,11014459,10966787,10912163,10752544,10734490,10576566,10494133,10470645,10374308,10229140,10048719,10014513,9890367,9718093,9505868,9343100,9191145,9032238,8800176,8612345
6,464964,900193,1374838,1718005,2195802,2513732,2983738,3372454,3847694,4220906,4655227,5012935,5362890,5705093,6145694,6472393,6813894,7179308,7419234,7623333,7918683,8158462,8391116,8655797,8902840,9152018,9493561,9786742,9974895,10236466,10493836,10709860,10904772,11091932,11321029,11559889,11723792,11984509,12128436,12269083,12401977,12447075,12627883,12708280,12915160,13009293,13095675,13174304,13245181,13308306,13300516,13345951,13445251,13477367,13555273,13557104,13582633,13583741,13648720,13679140,13550129,13616793,13654596,13643936,13543040,13441190,13372528,13376627,13394606,13280828,13200547,13058972,12873945,12711329,12539509,12439720,12293537,12139601,11927634,11691208,11560159,11338117,11252185
7,534881,931746,1541199,2016014,2505482,2985740,3456787,4028787,4478708,5050734,5484940,5954037,6251557,6658131,6970144,7358298,7724941,8138887,8499409,8850721,9192822,9525713,9873954,10287200,10592460,11008675,11323805,11487637,11756055,12000013,12251240,12480106,12711682,13016957,13230112,13322761,13504518,13690042,13866356,14033459,14191352,14323039,14462511,14668522,14789573,14871950,15048187,15129329,15122757,15071912,15137701,15211647,15346621,15254010,15372567,15436764,15333774,15243006,15235111,15134457,15009930,14974404,14929668,14874865,14809095,14659747,14660694,14503557,14419556,14351459,14233039,14105409,13968569,13826207,13714137,13477607,13276328,13111968,12919865,12732996,12627969,12493086,12190205
8,572024,1069673,1592803,1996333,2528316,2959262,3471224,3863494,4245982,4727913,5228681,5690591,6142490,6584379,7132052,7553919,8088256,8492209,8884046,9198023,9569839,9935590,10287384,10551584,10871165,11081584,11372585,11582868,11738014,11941983,12332158,12718684,13094162,13229942,13440855,13662514,13875242,14100284,14204832,14386450,14659843,14791072,14942659,15149107,15280672,15266284,15252840,15287471,15354549,15436062,15420125,15481618,15555708,15630244,15661705,15723222,15734663,15874175,15846115,15711304,15623294,15490648,15321591,15164238,15095595,15019354,14934773,14774776,14757488,14638793,14372380,14322537,14184619,14025882,13767294,13562274,13457415,13159698,12822799,12562957,12384747,12145927,11897097
9,624755,1191776,1868807,2628463,3316803,3957000,4584920,5200562,5762257,6353343,6947877,7514408,8035878,8514137,8942986,9460406,9965548,10458413,11005999,11337569,11809344,12358663,12686750,13119051,13572131,13908994,14260107,14630194,14988003,15420011,15771971,15994770,16303469,16686438,16858171,17016859,17419779,17520775,17750839,18040830,18251306,18310215,18496136,18669778,18831143,18862417,18879911,18919735,19031989,19154384,19378115,19362737,19366839,19488810,19527398,19553707,19417942,19499019,19488495,19548821,19513742,19505857,19363732,19146063,19061872,19088466,18979720,18858697,18632988,18553858,18285244,18115109,17932697,17787752,17703619,17410514,17178990,16935189,16600044,16331687,15956356,15547952,15328180
10,662023,1396246,2215794,3023968,3587775,4331353,5003579,5618180,6255727,6885328,7391886,8036066,8678602,9255892,9740657,10291791,10818632,11195885,11786917,12205134,12853935,13326603,13786193,14227366,14584336,15004693,15411972,15907445,16216633,16399110,16646935,16988825,17317637,17649049,17919217,18208796,18310590,18706584,19124850,19362118,19586308,19702500,19720099,20060758,20050278,20295086,20440809,20547866,20667435,20773925,20710333,20626292,20693549,20575561,20616663,20644687,20641293,20735841,20712453,20657673,20496116,20395154,20216926,20315311,20067853,19824428,19614720,19487357,19188217,19081400,18967490,18751277,18638037,18434889,18214436,17980904,17594273,17507883,17213370,16927528,16628607,16465267,16140191
11,898844,1614808,2367984,3055327,3891251,4732251,5717097,6498557,7394165,8151441,8681587,9533032,10257212,10951569,11732992,12395890,13043057,13765179,14380887,14814685,15549072,16117591,16558399,17302615,17823945,18340791,18830661,19240174,19698585,20141265,20685780,21205513,21601004,22111413,22475445,22752914,22861248,23366307,23667420,23952803,24215613,24416719,24778635,24784948,24970531,25260091,25435365,25547858,25691673,25810876,25955115,25847827,25764788,25894438,25880068,25727622,25745598,25929990,25916507,25887295,25902719,25951545,25875143,25783012,25460912,25529262,25528892,25433543,25154369,25129612,24914527,24889845,24843185,24593756,24175541,23894653,23401254,23103894,22775816,22616738,22363634,21988367,21456151
12,1003671,1938213,2906756,3718883,4652298,5384393,6512286,7462616,8391942,9309791,10191090,11250019,11827776,12603112,13211076,13815232,14303882,15008961,15840147,16455316,17152376,17672137,18289395,18947517,19529646,20001253,20548254,21309011,21820884,22503745,22980489,23652489,23926177,24373654,24780141,25240107,25440330,25610455,26055075,26569756,26694712,26978506,27003349,27048305,27418300,27793193,27988909,28002066,27971373,28114396,28165347,28257311,28272651,28426861,28308546,28426066,28200108,28009882,27918367,27885748,28029663,28204392,28121399,28018522,27898082,27939941,27784372,27611238,27427315,27055691,26631490,26176355,25915401,25636882,25124733,24811086,24417290,24030559,23821288,23352723,23180449,22761416,22351921
13,1208969,2043570,3420298,4484518,5786884,6824064,7567176,8564574,9542081,10499697,11437423,12076281,13011253,14051896,14658060,15315343,16255760,17054247,17718565,18477270,18980458,19728535,20571221,21119163,21554205,22120023,22829365,23219719,24058364,24494104,24985408,25507529,26262539,26742768,27005279,27445725,28063680,28572198,29066714,29610139,29863450,30100763,30650860,30718035,31257796,31226762,31178136,31379889,31361592,31523563,31557495,31833838,31848475,32129732,32192247,31983838,31854346,32080071,32063022,32002490,31945658,31732964,31636350,31786502,31650106,31599521,31370920,31174850,30801140,30697152,30441409,30317847,30105840,29790424,29619149,29263950,28888860,28493879,28079007,27525413,27157203,26682657,26000425
14,958308,2324832,3794583,5059570,5980929,7380212,8502979,9456834,10510286,11567193,12602146,13388081,14379127,15181607,15908749,16820277,17873166,18961640,20007424,20844795,21450086,22509157,23280668,24030225,24448623,25013013,25696710,26640517,27280306,27780914,28376796,28950725,29339192,29869213,30678083,31066219,31530380,31972587,32392841,32533102,32833445,32986946,33319385,33629871,33918404,34111602,34294012,34602405,34664186,34842951,35131921,35171041,35283945,35606224,35599332,35822142,35847232,35850368,35996325,36194278,36131554,36036744,35910201,35970679,35820141,35420868,35226422,34704427,34292215,34031908,33464397,33429623,33103456,32830985,32165436,31536671,31001067,30343363,30095557,29394851,28893056,28369306,27823604
15,1033545,2342843,3221198,4335854,5572862,6620285,7718347,8746169,9682334,10914229,11826346,12799157,13750884,14896274,16047997,16936477,17803875,18656065,19654012,20582535,21186566,21971746,22613219,23333038,24082129,24759783,25410177,26182703,26548763,27142087,27551778,28102937,28844082,29446576,29934487,30401315,30847061,31271724,31479609,31732544,32267186,32429237,32793338,33091506,33368591,33688883,33769118,33722693,33752249,33923922,34045282,34174789,34253294,34187612,34079102,33954552,33978646,34122141,34104070,33778467,33542034,33460715,33659084,33647901,33773504,33656279,33469548,33261734,33032837,32782858,32621944,32329800,32094104,31462978,31324231,30947756,30510601,29871083,29244667,28765731,28460503,27807151,27183238
16,1209635,2522614,3465453,4662131,6162581,7076580,8371010,9253226,10446902,11427221,12790712,14068961,14932124,15792141,16996598,17845087,18607512,19505564,20401548,21254857,22350373,23158939,24061115,24824938,25566390,26285471,27183700,27858038,28510005,28943843,29431394,30016246,30396113,30936223,31393469,31809776,31976293,32426917,32868200,33522613,34174426,34769458,34892665,35209061,35686993,36217179,36466460,36375245,36269512,36235429,36702420,36965251,36775298,36900592,37041314,37089253,37114820,37365335,37377827,37336281,37272362,36883551,36650737,36294801,35842444,35816177,35858914,35638396,35647929,35382668,35184200,35068474,34730371,34143632,33766514,33493106,33270400,32915515,32269084,31878005,31340720,30963365,30407276
17,1248404,2221618,3502466,4846252,6007267,6961465,7959115,8809033,9894347,10865021,11894954,12888932,13978272,15014762,15957307,16878005,17776855,18632386,19266308,20311969,20991381,21771988,22652116,23398037,24018961,24883177,25563557,26222090,26755850,27293475,27886467,28517537,29210614,29711057,30216661,30808213,31209679,31359133,31774265,32410862,32700691,33053365,33576514,33963001,33946123,33932012,33889701,33963485,34163229,34341127,34497177,34900571,35198721,35289230,35357893,35144756,35126782,35108818,34914075,34873502,35120061,35035793,34929679,34801718,34343470,34383233,33991766,34038852,33969308,33644830,33478067,33351116,33295132,33188708,32820429,32443565,32154764,31723146,31110051,30632536,30145081,29570457,29027401
18,1181875,2343066,3347883,4409163,5508307,6703271,7891042,9005003,9837274,11035253,12126108,12810626,13820879,14948918,15841234,16956275,17513370,18343637,19153221,19833054,20816728,21564264,22546485,23197257,23882744,24726975,25527983,26151422,26754178,27052427,27613817,28092244,28773548,29219862,29595318,30164841,30586852,31288975,31684903,32060148,32241451,32808260,33233327,33396782,33615157,33981101,34159856,34369639,34707825,34876242,34963869,35201492,35307861,35393547,35581298,35589684,35613321,35616276,35370548,35446857,35387763,35035238,34934779,34880119,34965185,35066274,34883083,34903860,34785519,34671083,34233032,33946428,33532477,33204507,32855854,32453990,32063971,31420467,30758759,30117220,29644471,29353092,28980796
19,1227589,2433695,3618318,4509702,5765426,6604803,7459586,8290133,9139315,10028738,11116348,11882860,12852655,13800968,14727797,15759593,16359898,17327715,17972427,18649268,19447201,20121550,21048499,21971420,22912792,23786419,24676122,25506576,26132646,26737233,27320338,27585817,27878655,28397311,28964414,29304845,29759053,29977629,30231731,30481217,30964944,31311738,31402993,31706821,31701130,31875767,32115147,32317382,32222548,32397480,32550928,32682894,32793377,32882377,32882015,32623989,32465342,32683697,32516884,32562728,32493104,32410242,32259078,32277399,31941973,31773180,31582904,31159985,30646674,30391949,30281139,29983449,29946023,29704384,29625257,29211843,28517196,28119299,27671229,27468449,26977414,26464896,25930895
20,1354447,2784582,4091624,5374962,6426463,7684692,8896922,9757475,10922300,12044600,13061308,14486080,15758161,16618381,17640989,18455391,19430592,20385672,21313468,21949069,22556103,23412790,24117554,24926836,25709456,26471332,27209506,27923977,28928429,29628516,30573304,31325849,31631354,32494219,33229529,33819710,34320855,34909468,35363208,36107395,36513729,36896360,37255289,37485772,37797295,38236772,38567110,38597557,39089250,39266832,39340534,39486137,39469343,39786284,40059866,40110657,39867168,39874077,39853760,39532753,39651269,39319975,39204847,39344049,39255491,38859860,38505148,38514356,38257011,37975963,37671213,37364702,37164003,36613590,36420373,35674577,35071261,34600591,34106218,33733293,32897976,32076725,31765689
