,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
1,-4883733,-4786238,-4685607,-4599479,-4503040,-4399906,-4307661,-4215942,-4119905,-4034198,-3950339,-3857840,-3776923,-3699353,-3623880,-3550503,-3484926,-3416486,-3334814,-3277208,-3214929,-3144344,-3085643,-3037694,-2983186,-2923546,-2873230,-2829684,-2783562,-2739536,-2691874,-2646706,-2608969,-2587385,-2553842,-2521615,-2492264,-2450851,-2430389,-2422267,-2400332,-2381463,-2364691,-2358560,-2353384,-2353539,-2344045,-2341286,-2352018,-2343822,-2354267,-2356363,-2360556,-2352577,-2353297,-2363779,-2376358,-2378758,-2393877,-2402475,-2430299,-2447023,-2464430,-2498015,-2521861,-2549609,-2583153,-2604364,-2631643,-2664471,-2712433,-2747950,-2794073,-2841648,-2895217,-2935966,-2976239,-3032844,-3096990,-3161469,-3215489,-3291368,-3358318
2,-4890370,-4760319,-4646845,-4530997,-4431526,-4312460,-4219269,-4097112,-3996620,-3894412,-3799716,-3710224,-3601417,-3509181,-3419438,-3332188,-3258839,-3176574,-3097270,-3025290,-2960912,-2895639,-2838914,-2771607,-2722502,-2658485,-2612321,-2554985,-2485524,-2434665,-2393582,-2346218,-2301347,-2258968,-2232592,-2206319,-2158771,-2136282,-2095795,-2068374,-2059348,-2049580,-2029637,-2007400,-1980106,-1962278,-1942080,-1952140,-1937907,-1935414,-1950802,-1953295,-1958281,-1961252,-1984938,-1980768,-1981116,-2007884,-2012464,-2034900,-2059828,-2087250,-2101379,-2142285,-2177185,-2219229,-2243142,-2268372,-2307906,-2367983,-2426084,-2481750,-2536593,-2588905,-2660263,-2735187,-2783616,-2850923,-2933791,-3006084,-3071424,-3142643,-3222415
3,-4894909,-4794315,-4701406,-4602621,-4505937,-4407570,-4315090,-4217207,-4136918,-4054280,-3970207,-3899387,-3830528,-3752761,-3671726,-3596833,-3525371,-3456011,-3388753,-3323597,-3273379,-3212719,-3156959,-3088912,-3034265,-2981936,-2942041,-2892927,-2846687,-2807924,-2765888,-2725953,-2676169,-2644278,-2610649,-2588963,-2558432,-2540094,-2519178,-2491685,-2484109,-2453362,-2436548,-2410557,-2391102,-2382698,-2384549,-2378243,-2384241,-2382139,-2378908,-2381010,-2371920,-2369102,-2364325,-2387516,-2400127,-2411775,-2428589,-2455624,-2463906,-2487026,-2520229,-2554013,-2587737,-2619265,-2660186,-2704264,-2745534,-2779076,-2810525,-2854663,-2900903,-2949244,-2994786,-3047331,-3106572,-3151055,-3200714,-3252387,-3320475,-3393229,-3461214
4,-4864909,-4732521,-4602834,-4469636,-4364321,-4242740,-4123860,-4001347,-3887870,-3770895,-3661310,-3571214,-3468545,-3368578,-3271313,-3186777,-3108257,-3038297,-2969983,-2891978,-2810923,-2729652,-2653746,-2580797,-2528313,-2453749,-2383280,-2335627,-2270996,-2214258,-2160259,-2114274,-2059233,-2013303,-1984570,-1944043,-1911505,-1876381,-1843960,-1826453,-1789629,-1756632,-1753982,-1720046,-1696329,-1682820,-1669892,-1661787,-1672071,-1669369,-1669369,-1668499,-1673902,-1668813,-1679621,-1696482,-1712693,-1731606,-1753220,-1766038,-1783886,-1813813,-1832229,-1882041,-1919866,-1954435,-1992211,-2038142,-2086775,-2146890,-2195195,-2251933,-2316638,-2372646,-2437490,-2514840,-2585087,-2671542,-2732470,-2810823,-2890772,-2979280,-3073433
5,-4831696,-4669162,-4531303,-4358966,-4207083,-4066489,-3917086,-3775108,-3636432,-3501057,-3373400,-3244629,-3099915,-2977748,-2836202,-2729097,-2624161,-2507037,-2379354,-2298039,-2198984,-2095729,-1993183,-1904035,-1799662,-1715118,-1654329,-1565787,-1487548,-1397306,-1322428,-1259694,-1185923,-1123431,-1068851,-1000614,-954389,-911465,-871844,-821605,-783732,-747290,-720875,-679585,-682775,-666266,-653059,-627017,-598615,-595313,-601296,-612148,-624818,-641855,-665269,-660676,-680487,-689867,-734642,-764358,-791606,-838895,-878517,-913647,-971487,-1021014,-1060132,-1129306,-1199614,-1260395,-1326432,-1383180,-1468697,-1544639,-1608797,-1691342,-1760342,-1849491,-1929297,-2014127,-2113181,-2238324,-2350719
6,-4778589,-4562589,-4363873,-4156689,-3928745,-3759359,-3565400,-3346191,-3150414,-2969680,-2773870,-2573651,-2426225,-2260159,-2120882,-1958538,-1779690,-1663418,-1536617,-1399964,-1267719,-1134556,-1011128,-866303,-777365,-637806,-532010,-430622,-308832,-221742,-108533,-24778,42406,112162,204616,276203,323636,380943,433841,458057,502139,541812,574686,605543,651924,673965,688016,687134,678361,679061,647991,643583,640543,620056,590958,568918,565082,550330,502577,476548,449330,414678,361780,304474,219617,146311,53210,-1545,-79041,-158908,-247072,-339643,-436644,-538031,-643827,-781217,-889684,-1008704,-1109925,-1220528,-1366283,-1484676,-1625737
7,-4749280,-4496254,-4239935,-3970449,-3740073,-3514706,-3265046,-3057596,-2847253,-2654997,-2454670,-2259352,-2055168,-1869866,-1692218,-1540226,-1369948,-1205555,-1050631,-897106,-746861,-600846,-475111,-312750,-177912,-74163,63222,178410,284297,404109,528318,623473,698214,757177,837308,938300,1008414,1073521,1110854,1155654,1223395,1304214,1344279,1404637,1415421,1408009,1428042,1415748,1425764,1430773,1430773,1433468,1424644,1409620,1389587,1334649,1284369,1246144,1184469,1165824,1125533,1042193,982095,933328,848741,773619,709824,607337,517190,422035,321872,225966,115786,6933,-113263,-266300,-374653,-520746,-660575,-817984,-979243,-1142293,-1302554
8,-4769361,-4551330,-4319144,-4091796,-3857799,-3640125,-3427288,-3192266,-3010192,-2811867,-2631202,-2442552,-2259988,-2086667,-1895600,-1702763,-1538299,-1345325,-1209719,-1055682,-897231,-791478,-633512,-502908,-377140,-262084,-145992,-5911,127069,196494,293238,413506,502405,584638,642768,707500,798742,857845,941730,1002525,1068771,1095540,1160699,1202765,1198548,1203753,1223102,1248552,1258226,1263063,1247486,1242649,1264969,1250457,1231109,1222429,1177490,1143630,1104932,1035731,987359,937133,879087,829424,761704,689146,637251,555018,467949,376042,282509,160352,52276,-37482,-153575,-274505,-400272,-497398,-632839,-773118,-895276,-1045229,-1200020
9,-4662418,-4341869,-4092439,-3816033,-3584260,-3338690,-3076719,-2798510,-2570969,-2326859,-2130824,-1911521,-1645715,-1409339,-1225351,-1016965,-786676,-615606,-429845,-218861,-40245,132418,289973,463675,624418,759784,866215,989782,1102698,1227730,1386595,1504215,1639970,1768248,1867095,1956403,2039757,2145775,2217221,2282714,2369376,2417155,2475018,2516695,2517230,2569917,2610098,2627959,2622433,2628387,2631212,2625258,2575490,2595220,2578755,2561868,2500713,2459036,2411405,2351031,2269161,2232004,2170815,2093414,1978068,1888851,1764440,1679177,1556396,1424185,1277747,1152064,1022190,884022,724645,575798,397054,257513,90804,-44272,-235443,-456261,-633781
10,-4672306,-4392736,-4078150,-3775871,-3455766,-3119812,-2795253,-2531871,-2256607,-1958123,-1742479,-1530243,-1251238,-1007019,-771079,-541693,-288273,-71995,96570,267697,477433,636511,848345,1019655,1190056,1376851,1534144,1684884,1789300,1926932,2058010,2182533,2268112,2379528,2458262,2556571,2648325,2746652,2825299,2897392,2936700,3014127,3085289,3133154,3149805,3198715,3206622,3241161,3254268,3260822,3242473,3280504,3307861,3310867,3320891,3273451,3234128,3188251,3135820,3034333,2939502,2824246,2745600,2687647,2632263,2545452,2434672,2323256,2204266,2079742,1914633,1777001,1632816,1521965,1367827,1203980,1073545,854314,625557,435494,260756,57586,-152138
11,-4698936,-4365088,-4049651,-3771381,-3527836,-3248965,-2944713,-2655516,-2443342,-2223883,-1980524,-1743248,-1534776,-1309668,-1064366,-851427,-646713,-414410,-219722,-32552,178109,324581,515792,680059,867404,1062328,1232092,1372023,1548247,1711742,1838328,1915013,2024525,2170089,2308863,2371891,2457066,2574445,2648525,2715449,2741319,2796075,2886294,2931048,2949290,3009444,3017536,3066226,3078394,3082056,3082056,3078821,3037689,3019437,2976652,2926469,2889965,2848881,2831085,2771264,2704652,2621627,2548619,2469527,2362052,2270792,2173448,2083961,1954374,1820482,1698803,1564797,1406480,1266548,1120532,968433,789656,625389,426461,267669,125249,-97986,-292673
12,-4592284,-4237912,-3846504,-3463251,-3051333,-2684389,-2307015,-1909905,-1577061,-1187259,-859944,-498648,-177180,90161,424281,709682,972637,1241730,1449143,1700186,1944816,2181291,2409612,2640315,2852327,3034858,3206805,3410234,3626277,3797518,3994646,4097588,4287339,4431666,4591644,4758044,4818063,4871227,4973932,5110461,5160605,5233994,5353189,5430709,5479635,5520407,5553024,5633559,5592297,5620485,5571077,5562923,5546614,5520057,5535791,5495020,5437193,5352435,5314637,5208462,5150862,5066892,4969040,4846144,4731168,4552205,4421736,4283112,4159510,4062166,3942700,3741822,3579046,3349143,3131193,2888999,2709634,2489467,2233506,2000507,1792172,1539388,1328905
13,-4593981,-4206692,-3853429,-3449340,-3075802,-2735213,-2341279,-1991873,-1643334,-1283913,-1011351,-647385,-348348,-4731,287603,571817,821376,1045936,1249937,1501669,1722646,1935118,2186809,2407741,2618871,2821881,2974935,3161704,3324680,3495208,3609391,3763678,3909845,4002919,4132845,4254651,4368336,4473901,4604932,4665878,4747082,4873843,4946645,5048727,5050372,5052525,5085643,5110004,5122765,5123927,5123927,5115806,5132150,5107789,5084892,4987071,4938349,4881506,4831953,4811316,4730112,4672625,4575181,4469616,4396045,4274239,4144313,4010288,3887677,3701072,3591856,3376974,3241260,3052007,2869726,2666717,2486295,2267045,2039674,1804183,1607651,1355919,1098167
14,-4543974,-4044180,-3590803,-3111408,-2613105,-2186224,-1737429,-1344881,-894571,-476376,-68380,339903,697571,1084791,1479788,1836784,2127759,2464355,2841356,3143805,3403607,3660218,3952021,4198470,4435503,4690501,4935298,5214390,5438788,5657893,5933412,6098046,6281644,6413308,6576507,6772967,6925429,7058028,7180426,7346093,7482000,7603202,7712617,7784016,7854196,7865569,7845955,7876554,7871397,7902379,7902379,7924657,7853767,7823168,7792903,7741904,7680704,7612505,7530906,7391691,7319607,7141072,7034014,6876898,6793190,6640192,6434426,6314194,6074833,5849802,5678878,5480413,5256015,5021418,4748328,4493331,4228134,3912128,3626532,3258190,2936109,2621998,2295602
15,-4500774,-3999087,-3609336,-3230716,-2874974,-2465151,-2027382,-1575642,-1193141,-819747,-440836,-85656,270560,591945,980178,1254860,1503901,1804438,2132223,2477904,2695464,2959572,3214573,3456493,3724930,3964656,4166442,4375907,4576264,4767515,4981186,5188951,5372561,5527383,5694129,5830737,5945625,6061199,6170485,6282633,6373705,6391836,6500959,6584245,6638888,6628072,6724899,6697637,6683133,6753155,6759678,6791862,6773648,6767164,6737379,6696432,6625654,6560269,6487412,6405447,6353558,6253379,6094650,6014796,5938171,5823770,5679042,5511433,5369036,5196000,5013857,4858712,4648636,4439171,4216312,3974536,3738850,3492957,3243214,2994233,2774870,2513281,2221851
16,-4462494,-3892393,-3349509,-2830193,-2312574,-1798750,-1295352,-798132,-320130,132890,581978,1012900,1469378,1897458,2262917,2649641,2949073,3345033,3623414,3949202,4280681,4601110,4945590,5243920,5459313,5735545,5983957,6254843,6551734,6801703,7022689,7232625,7364910,7552748,7729537,7822365,7899822,8043463,8176054,8267164,8377656,8477100,8611879,8762317,8784304,8822898,8846638,8822494,8799961,8811011,8847418,8836368,8814270,8781122,8749738,8739257,8600764,8554558,8543315,8502194,8391702,8217215,8084623,7968472,7813782,7648043,7519930,7320034,7121147,6973270,6717580,6472498,6232130,5977996,5762103,5500152,5192813,4897572,4569741,4249312,3917834,3575306,3221730
17,-4432877,-3871203,-3336935,-2813798,-2318136,-1763361,-1273615,-828388,-360904,95450,555302,987390,1410352,1790106,2253937,2641612,3020052,3361537,3698651,4043699,4446088,4768875,5050402,5350928,5718027,6055226,6386233,6571075,6873713,7107455,7300920,7557495,7757846,8004289,8114562,8272888,8388703,8611061,8679724,8834775,9004342,9049151,9206984,9248845,9391281,9446934,9418173,9451565,9465896,9433011,9451474,9519840,9483851,9468282,9436165,9445606,9378822,9346518,9258316,9158141,9085619,8935178,8841338,8696640,8564917,8375161,8157134,7899094,7698744,7465834,7223358,6943535,6698662,6385927,6132151,5827000,5497242,5196716,4812546,4445218,4111301,3806220,3450041
18,-4354300,-3729335,-3109462,-2538582,-1899593,-1306768,-681045,-125743,493077,972207,1399232,1829919,2330296,2858365,3323270,3775260,4203208,4587442,5020456,5420791,5822021,6231196,6624029,6998826,7334590,7635061,7994496,8200691,8484799,8755993,9014273,9279387,9481558,9701096,9932137,10097505,10292955,10480169,10653071,10795125,10924265,11082910,11151010,11241408,11373156,11503856,11582083,11620825,11570955,11632298,11643663,11646622,11620794,11655394,11603822,11450727,11373243,11216256,11092875,11049373,10877186,10826786,10614702,10446820,10219534,10043914,9812247,9518266,9333841,9088475,8913010,8650749,8368215,8026788,7790611,7467760,7136052,6787373,6446531,6072025,5700465,5389075,5012615
19,-4485547,-3899816,-3303435,-2741612,-2204644,-1666728,-1141571,-627563,-125508,315716,845886,1288004,1742244,2176712,2639313,3122576,3529001,3923473,4235731,4630828,5044327,5390984,5741083,6136603,6447399,6746241,6969081,7244015,7584909,7920390,8196449,8364095,8494951,8698163,8878874,9015859,9235782,9405750,9549194,9649272,9768809,9925783,9946793,9986695,10105135,10110950,10158765,10181442,10205349,10217303,10140624,10202012,10240826,10132789,10084974,10031617,9979665,9895989,9800360,9692777,9573240,9441749,9300666,9141645,9016055,8872966,8681707,8493290,8278124,8017056,7850398,7613848,7311109,7036174,6665268,6402776,6091980,5812654,5450849,5104192,4748796,4314095,3931577
20,-4432799,-3767900,-3161161,-2512890,-1874407,-1301156,-748794,-235975,375000,977887,1480034,1969628,2503206,2887959,3416236,3910409,4263244,4677515,5155409,5456642,5844157,6196226,6562027,6985177,7227408,7472717,7774006,8141632,8468172,8671293,8922367,9137497,9323367,9536780,9737639,9925944,10146026,10301841,10479213,10554337,10679874,10873879,10993187,11165021,11262810,11319939,11370153,11361111,11386202,11398756,11338172,11325618,11322295,11325577,11275363,11163636,11137678,11049803,10867316,10837672,10748574,10610484,10517758,10303015,10103724,9996338,9795479,9636329,9410363,9222832,8971758,8687867,8477448,8169165,7867877,7554035,7227639,6820792,6400366,6036309,5623088,5232951,4839690
21,-4382069,-3776496,-3235191,-2654336,-2047018,-1490880,-869249,-296096,199379,706082,1129557,1634110,2103738,2596571,2964133,3470515,3937898,4390951,4814942,5198059,5568818,5927218,6273259,6629154,6950478,7255344,7602749,7814894,8029151,8356730,8662000,8874699,9097154,9296798,9494536,9679915,9796150,9948421,10184312,10326777,10450364,10607928,10706797,10821448,10915035,10976828,11026263,11074792,11172928,11185287,11219707,11127888,11103171,11104280,11109473,11047680,10972603,10972519,10883969,10696247,10554156,10411918,10221906,10061244,9888223,9626305,9428567,9286962,9104461,8869647,8605315,8305417,8033527,7749279,7452672,7143707,6775016,6388500,6064958,5705698,5414869,5031751,4625041
22,-4355219,-3727707,-3136334,-2643147,-2002900,-1475146,-976025,-480629,90866,632199,1171039,1678295,2177099,2585046,3005070,3417371,3885099,4272575,4666824,5048459,5441411,5798700,6143667,6459174,6825191,7096612,7443535,7726902,7930182,8218793,8465198,8745110,8919879,9123545,9320670,9477335,9726926,9925170,10073014,10268221,10441825,10593758,10698032,10784274,10858196,10993662,11042943,11090861,11115502,11127822,11197444,11141543,11113853,11127604,11078323,11020906,10946984,10860742,10812059,10701177,10577974,10442451,10240986,10143002,10002276,9817471,9600256,9328197,9106432,8789112,8542706,8283980,8042894,7803644,7507957,7199950,6822516,6501256,6240911,5949233,5579624,5201667,4807418
