,1,2,3,4,5,6,7,8,9,10,11,12
1,1243308,2589086,3634279,4738847,5294015,6184042,6358887,6693670,7327398,7408248,7626624,7675262
2,1399124,2730189,4000073,4618576,5822065,6829547,7382675,7668262,8041343,8037594,7829396,7880562
3,1446515,2923872,3897347,4960990,5876659,6862551,7942051,7991767,7982978,8607634,8246693,8304735
4,1742786,3395813,4592892,5352418,6509525,7243200,8225093,8360056,9291442,9176580,9240639,9302739
5,1759621,3660840,4659346,5475505,6529114,7770182,8308147,8506340,9062579,9639607,10317342,10385118
6,2584650,4933085,6706489,7916863,9092051,10120410,11559939,11985169,13052265,13555612,14269377,14351807
7,3382678,6319879,8448338,9990420,11516806,12296678,12618256,12763282,13041355,13951165,13858827,13956771
8,1998009,4415701,6488732,8237933,9289005,11477995,12971952,13143138,14265191,14926474,15217383,15315600
9,2907316,4716106,6974193,9474613,10339589,11519935,12920832,14216839,14303118,15189248,14817438,14920902
10,3758190,5597812,7104468,9701580,10890787,12519780,13031440,13797624,13953081,14664585,14114428,14226572
11,2317414,4678377,6430036,7633825,9074178,11007081,11797966,13711430,15419715,16718875,17299533,17416578
12,4058514,6982784,10720836,13757636,14891732,17421990,18786026,20246526,22167907,22216048,21553501,21681903
13,2716450,6083570,9977162,11989977,13618366,15256862,16467807,17613709,17330861,17944158,19245963,19376212
14,2553672,6508758,9914862,12521447,15470682,17392387,20259903,22047136,22848212,23756648,25006515,25151890
15,3821948,6348951,9223019,12066028,14247394,17173273,19089248,20934863,22061458,22040562,21920811,22069285
16,3778372,6261248,9772417,13457095,17239343,18973538,21601789,22500575,23939719,24776343,24610827,24774850
17,3869224,7485899,11751030,13916277,16382719,18984500,21110262,22267662,22624919,24433983,24438984,24607632
18,5453144,8390339,13381452,17847127,19705314,21422291,23763411,26422212,26045551,25473200,25687621,25860822
19,3721644,8202121,12528040,17448408,19553164,22181822,24046842,25493119,26407048,26860630,27416968,27599342
20,3891844,8594297,13666790,18376779,21575345,25440781,27023315,28954255,30726773,31670787,31123666,31310930
21,4088372,9038641,11750160,15824554,18762175,20473114,23305527,24349818,26728456,25801173,25514244,25467790
22,6249495,11979772,16847203,19276007,21069166,23749171,25418427,26471530,26662982,27792197,29218721,29173198
23,4161302,7201058,9507989,11518192,13686656,15306632,16194749,18382078,19429460,21623495,23150614,23106022
24,5999954,10728118,13883149,17526299,19266595,22667916,24311704,25634434,28133085,28128295,28068736,28025032
25,5469679,10100926,14668785,16506404,19838685,21542549,24713688,26017015,25952318,27194632,28164794,28121147
26,5430615,8970992,13310716,15126244,16965972,19272230,22386429,22569945,23764098,25090564,24682031,24639294
27,4505679,7263335,11861522,13735990,15961481,17833144,18561754,19468377,21148897,22774797,21573286,21530812
28,3600403,7937569,11470097,13721639,15849126,18705825,19995181,20854605,22067601,22174285,23400449,23358619
29,4607137,8172780,12650463,16810302,20512449,21963236,25230354,26218885,28393883,29895286,29133199,29091470
30,5356553,8529116,10761717,13449265,15955475,19549173,21108581,23321285,23964413,25225716,25616698,25575280
31,4064036,6830422,9020660,11053793,14391338,17700416,20138713,20805939,21356278,20792871,21381902,21341204
32,4265728,8650189,12819563,15193481,17665612,18611894,21484309,23728108,25001759,25430750,26038857,25998680
33,3166383,6673939,9774961,12722004,15690320,17428385,19239777,19976070,21413740,21152172,20775244,20735088
34,4778559,8770070,13520586,17765844,20964491,22283340,23167797,23470444,24925888,25756392,25752705,25712727
35,4312111,7157296,11801168,13688292,16915285,20017997,22133831,23071877,23480818,23246979,22917517,22878495
36,4187158,8517853,12562310,15075061,17094792,18821171,19465728,21493610,21947287,23505452,23313341,23275311
37,5180282,9499738,13625190,15735389,16952170,18084257,18679893,19440500,20549474,20859797,21104400,21066720
38,4868323,7506678,11031916,12927875,14276806,15770219,18325668,19367694,19534344,20517471,21885819,21849000
39,2775251,5950049,9775798,12813146,14675040,16800155,18107352,19976636,19888539,19587398,18849455,18813203
40,3399533,6441853,8986992,10897161,13328194,14243031,15419942,16752945,17565556,18081077,17655074,17619359
41,4737877,8277334,12434158,16128235,18022870,19902586,22435176,22674951,24676303,24939640,23993004,23958016
42,3845811,7903765,10748624,12344407,15017640,16751124,17528786,18279644,19437349,20739550,20576986,20542050
