,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
1,-4913890,-4831133,-4700037,-4581104,-4479024,-4387794,-4272267,-4187277,-4094074,-4003090,-3887501,-3820072,-3718999,-3610222,-3554429,-3494772,-3419322,-3346091,-3306228,-3262388,-3165093,-3085414,-3023278,-2954228,-2878923,-2793110,-2718793,-2667753,-2634945,-2588344,-2573082,-2514331,-2459059,-2392521,-2349147,-2315860,-2303313,-2274465,-2247835,-2223425,-2176658,-2125840,-2123243,-2108891,-2095576,-2054128,-2045252,-2038594,-2056387,-2040461,-2044380,-2046599,-2038798,-2030679,-2039556,-2050651,-2063966,-2079500,-2089403,-2109375,-2131567,-2149668,-2201825,-2260850,-2291918,-2345656,-2400280,-2446316,-2486260,-2548703,-2602588,-2664234,-2713055,-2762223,-2836349,-2891827,-2959206,-3015459,-3077595,-3141949,-3219540,-3313618,-3384630
2,-4838198,-4662574,-4479005,-4295350,-4134832,-4036365,-3936039,-3806217,-3716710,-3594249,-3452669,-3291871,-3204558,-3089113,-2979559,-2873889,-2771239,-2711243,-2614632,-2525475,-2457451,-2345216,-2260681,-2179164,-2137996,-2062518,-1990060,-1920620,-1839995,-1776594,-1728180,-1644942,-1615998,-1592470,-1544164,-1498877,-1447307,-1408058,-1371829,-1338618,-1308427,-1276077,-1269912,-1248778,-1230664,-1236881,-1224804,-1206674,-1200636,-1214424,-1214424,-1217443,-1223481,-1200242,-1243253,-1242197,-1239696,-1281643,-1316797,-1343969,-1374160,-1387042,-1423271,-1460024,-1497818,-1553525,-1599631,-1650956,-1691515,-1717131,-1737866,-1801268,-1867688,-1900643,-1989816,-2065294,-2160645,-2215308,-2308800,-2435577,-2526151,-2605193,-2719420
3,-4802820,-4526762,-4305301,-4125264,-3974586,-3735918,-3577385,-3378993,-3211566,-3022401,-2837851,-2680702,-2505379,-2353370,-2187274,-2027423,-1839617,-1718908,-1571267,-1428241,-1295984,-1162185,-1032999,-882446,-817295,-703696,-556116,-481165,-429150,-305818,-213543,-63119,-8439,69995,186683,282929,347521,366742,418762,439954,486091,505119,583656,553543,570054,563248,541863,566324,575552,580166,547547,542934,557483,605873,550504,527435,548663,520954,535791,526185,480047,429296,373930,353621,275522,265566,191746,113312,30264,-101871,-233368,-354330,-455833,-502767,-613497,-721227,-889734,-1014306,-1119939,-1287512,-1425925,-1568952,-1737247
4,-4748417,-4480572,-4218193,-3990242,-3724291,-3451960,-3175322,-2940274,-2787764,-2563648,-2303440,-2106678,-1898962,-1676541,-1556315,-1364997,-1153452,-973066,-798147,-636843,-431043,-196777,-105913,41676,236158,339988,522809,608286,767966,882757,984993,1122255,1183745,1210508,1297968,1379961,1426715,1562501,1683758,1724089,1725676,1821141,1893891,1958006,1950714,1975508,2037171,2069667,2084454,2131634,2060266,2002230,2053724,2051616,2086078,2102944,1998049,1959786,1903793,1854597,1799935,1664156,1672149,1601088,1597938,1515944,1352218,1259292,1160900,1057041,947717,795142,660259,543204,442353,305697,163576,31017,-122037,-327840,-491827,-661280,-836199
5,-4644640,-4357276,-4020571,-3773165,-3456821,-3250721,-2975007,-2672442,-2421130,-2164215,-1897138,-1622190,-1384073,-1188907,-1049652,-830334,-578871,-372086,-199141,31443,219430,340679,516133,746432,830030,900421,1083203,1185233,1324649,1456239,1536960,1743382,1863250,1927093,1997700,2164986,2252713,2334174,2409369,2389543,2459702,2546519,2596649,2616728,2654326,2761172,2753502,2772301,2784834,2854899,2896345,2825763,2890093,2958017,2932952,2901621,2864023,2854955,2804825,2676171,2691526,2706753,2698435,2675447,2663188,2569195,2485167,2378641,2295534,2094281,1968957,1837366,1617769,1436690,1286301,1105680,909966,724329,617992,417543,299856,156526,-43993
6,-4603613,-4274859,-4030999,-3608194,-3340137,-3076037,-2768524,-2511525,-2217990,-1931443,-1672069,-1363444,-1097864,-807302,-637177,-392563,-154939,80903,304549,519394,729063,915316,1111007,1306288,1397884,1478362,1646096,1901067,2123199,2243456,2383235,2544265,2743001,2791135,2902959,3007793,3105638,3241794,3304854,3450002,3438915,3541071,3694595,3743518,3798159,3842970,3962793,4057317,4037450,4103276,4153109,4183987,4137263,4116296,4083794,3996948,3955014,3906092,3850180,3777377,3707488,3630609,3576472,3470532,3372687,3353463,3144991,2983222,2897759,2730929,2591150,2444382,2297550,2136804,1969069,1744289,1627882,1439180,1319569,1116890,886170,726569,561783
7,-4592743,-4247892,-3856925,-3474103,-3019552,-2653020,-2294634,-1858829,-1515230,-1097598,-723405,-320130,-68276,233094,526320,811400,1077595,1276709,1537354,1789853,2135693,2371903,2660357,2880276,2999176,3202805,3398288,3484026,3580893,3762201,3926856,4081614,4224476,4428082,4499350,4578942,4692975,4798861,4896603,4986200,4982822,4947401,4922862,4979878,5075016,5115742,5188011,5254490,5373795,5381940,5407240,5414902,5494556,5470121,5516401,5418758,5369887,5407679,5280768,5245958,5228047,5138451,4961574,4855687,4630747,4443589,4268067,4058178,3948560,3716142,3571590,3438210,3259016,3071678,2922199,2792823,2608083,2503606,2242544,2048632,1884803,1632304,1311197
8,-4658063,-4303825,-3970036,-3674835,-3306281,-2862056,-2375448,-2011677,-1656366,-1309515,-866458,-536526,-204214,108799,445602,832506,1120139,1305045,1575759,1744607,2023948,2303834,2659646,2975318,3304534,3433595,3559744,3805129,3956263,4211101,4280535,4467950,4549213,4693030,4828386,4835409,5039814,5260916,5472690,5565747,5705273,5851592,5919270,5978488,5975960,5943152,5925865,5972319,5989239,5939601,5828800,5903215,5995411,6049176,6015337,5973038,5922279,5863061,5819512,5814912,5730314,5756907,5655389,5639665,5521228,5460017,5213404,5091731,5050953,4838390,4669195,4494305,4374480,4110508,3922324,3771321,3551367,3323581,2971480,2726146,2472352,2307943,2037230
9,-4478583,-4157762,-3702096,-3222553,-2862174,-2521152,-2143218,-1773873,-1483243,-1190047,-739939,-393196,-114699,154620,386387,687017,896675,1180126,1357217,1623489,1881171,2097385,2225786,2352582,2606713,2821449,2931194,3104033,3238175,3449012,3652230,3906449,3971821,4144752,4256623,4474230,4594482,4653612,4747389,4784358,4870252,4947557,5016272,5076398,5037201,5141726,5143053,5168822,5188201,5286172,5354458,5234740,5217561,5191793,5213775,5216954,5043837,4937294,4951136,4873831,4718131,4693970,4576243,4388982,4228053,4099211,3989964,3870187,3633410,3540363,3368575,3188197,2969158,2802182,2596036,2381300,2065565,1937267,1585770,1383465,1125783,744727,465090
10,-4621462,-4179991,-3839925,-3416473,-2893163,-2434151,-2073856,-1686443,-1321307,-951913,-464375,-113000,137065,455252,818493,1056342,1393140,1657269,2018116,2268259,2512751,2774030,3026299,3269558,3503808,3847555,4048694,4255915,4560601,4699692,4879884,5070695,5202592,5300260,5452960,5588104,5714239,5744294,5824762,5977498,6027343,6038747,6110824,6096194,6226198,6271246,6307285,6341555,6359574,6378675,6378675,6250929,6260707,6156862,6224457,6075082,5950147,5887080,5810735,5693184,5603088,5387306,5360211,5243087,5053675,4810458,4666304,4457085,4294912,4156670,3962210,3773009,3584483,3377262,3042505,2817265,2498495,2255236,2002967,1741688,1505653,1289631,978007
