1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-4885731,-4773748,-4664050,-4548716,-4443589,-4340747,-4247846,-4149575,-4053589,-3958257,-3877195,-3788066,-3700125,-3604455,-3512997,-3433009,-3349228,-3269105,-3189780,-3104662,-3036101,-2969825,-2905835,-2839381,-2786435,-2723942,-2673171,-2620607,-2572394,-2524401,-2466469,-2435248,-2394111,-2362680,-2334372,-2310802,-2276764,-2246116,-2225651,-2192552,-2158904,-2133951,-2131681,-2126304,-2103167,-2096914,-2087772,-2080916,-2069699,-2067414,-2067414,-2069699,-2066369,-2073225,-2075951,-2087378,-2101090,-2117087,-2135370,-2171279,-2192357,-2208670,-2243904,-2273614,-2303022,-2322745,-2355144,-2400984,-2453436,-2496859,-2541795,-2591340,-2641618,-2708263,-2752433,-2796825,-2849806,-2911511,-2969502,-3035777,-3095935,-3161471,-3234603
-4917263,-4836180,-4757885,-4680112,-4603994,-4539585,-4466776,-4385431,-4322750,-4254905,-4197345,-4139704,-4087686,-4020943,-3961372,-3911254,-3862512,-3814546,-3764284,-3724023,-3666035,-3628606,-3575177,-3526751,-3490842,-3453192,-3413478,-3383078,-3347083,-3306231,-3273136,-3241902,-3202466,-3164484,-3145859,-3117901,-3096019,-3066619,-3046762,-3028559,-3018672,-3003779,-2990541,-2972973,-2961583,-2953310,-2950139,-2951025,-2953504,-2951849,-2961559,-2963214,-2972652,-2969037,-2981799,-2989121,-2999785,-3020321,-3033559,-3048452,-3064848,-3081804,-3101661,-3123173,-3139720,-3164541,-3197455,-3214338,-3255098,-3286538,-3308650,-3350952,-3388558,-3426617,-3459729,-3498821,-3538326,-3593614,-3639947,-3694694,-3744337,-3796463,-3849415
-4897263,-4808739,-4717524,-4620555,-4520433,-4436033,-4345624,-4251907,-4174582,-4101306,-4019117,-3938981,-3873145,-3801708,-3724365,-3638362,-3568501,-3500694,-3437181,-3365259,-3303616,-3244028,-3182636,-3127158,-3081450,-3030039,-2967169,-2919910,-2861761,-2832001,-2786548,-2758974,-2721989,-2687058,-2648787,-2626735,-2599915,-2573203,-2548546,-2513535,-2501406,-2476173,-2459735,-2445161,-2432832,-2422559,-2414340,-2421954,-2417845,-2422497,-2412249,-2414304,-2413993,-2420157,-2428376,-2438650,-2453556,-2467939,-2479493,-2497986,-2520399,-2553497,-2576232,-2597061,-2632338,-2650341,-2690380,-2731781,-2768766,-2795461,-2836556,-2879706,-2924119,-2962539,-3005345,-3061793,-3125238,-3184864,-3242397,-3301602,-3365823,-3429521,-3495273
-4867131,-4761184,-4631317,-4531492,-4427406,-4304948,-4190971,-4085416,-3971617,-3882996,-3784806,-3689071,-3612913,-3522087,-3443275,-3368413,-3269816,-3183091,-3117321,-3043500,-2975819,-2904631,-2820856,-2741678,-2677854,-2606042,-2554424,-2486502,-2428196,-2371817,-2338791,-2292151,-2256453,-2218765,-2176879,-2130861,-2096494,-2064583,-2041290,-2006576,-1964792,-1928131,-1902954,-1898860,-1869017,-1853131,-1855369,-1849097,-1831629,-1832523,-1849622,-1842971,-1847880,-1855245,-1865064,-1892948,-1898906,-1907688,-1909889,-1929999,-1948442,-1965860,-1995756,-2028319,-2062006,-2085429,-2124705,-2158256,-2202442,-2246307,-2284236,-2350225,-2414918,-2478206,-2533235,-2594603,-2646594,-2712872,-2781605,-2848029,-2921672,-3009968,-3105530
-4911646,-4828138,-4749031,-4668932,-4587032,-4505969,-4435399,-4362116,-4290538,-4209727,-4141190,-4074724,-4009963,-3946906,-3885553,-3825905,-3767884,-3715928,-3655033,-3594123,-3542996,-3493573,-3445854,-3390851,-3356354,-3313748,-3272846,-3233189,-3195696,-3160013,-3120240,-3079600,-3057235,-3036333,-3005867,-2968844,-2939858,-2929028,-2899995,-2881248,-2867559,-2862522,-2848888,-2836958,-2826733,-2821856,-2819534,-2810023,-2806615,-2795652,-2795652,-2797356,-2811170,-2820393,-2827210,-2836691,-2854513,-2856776,-2876811,-2886650,-2903692,-2917350,-2937801,-2958030,-2980380,-3005944,-3037600,-3055405,-3090642,-3128497,-3162581,-3205236,-3249064,-3288262,-3329164,-3373115,-3414316,-3455169,-3503683,-3562143,-3601170,-3654001,-3710593
-4933830,-4876065,-4825709,-4775558,-4723197,-4678468,-4626598,-4572557,-4523045,-4478822,-4438432,-4393567,-4348770,-4309001,-4266562,-4219535,-4179454,-4145864,-4116489,-4079944,-4049124,-4013590,-3985903,-3956519,-3919088,-3897763,-3869470,-3849344,-3821003,-3796247,-3772669,-3751524,-3728529,-3708488,-3696451,-3678768,-3662264,-3646938,-3626226,-3610176,-3601933,-3599373,-3586640,-3578388,-3563561,-3557667,-3561335,-3560416,-3564450,-3569204,-3569204,-3564633,-3566248,-3569137,-3573853,-3579747,-3582103,-3594668,-3604099,-3607062,-3617142,-3629133,-3638208,-3656924,-3678275,-3703299,-3722015,-3738769,-3758143,-3780541,-3810773,-3842172,-3868107,-3897442,-3925735,-3959313,-3994099,-4030979,-4056738,-4088846,-4124212,-4160757,-4198481
-4971286,-4946704,-4919953,-4891825,-4869365,-4846208,-4821686,-4800364,-4777122,-4757011,-4734719,-4712983,-4688306,-4667685,-4650405,-4630899,-4610975,-4591145,-4576768,-4559492,-4541415,-4528427,-4512822,-4496057,-4484792,-4469220,-4455844,-4446335,-4436148,-4424444,-4417121,-4405032,-4391405,-4381931,-4373014,-4362866,-4354893,-4349272,-4342584,-4336454,-4334790,-4329774,-4328145,-4322268,-4318924,-4316137,-4313908,-4312236,-4311121,-4307547,-4306946,-4307503,-4308618,-4308190,-4311791,-4314578,-4318083,-4323615,-4328074,-4331679,-4335137,-4341267,-4348177,-4355422,-4364520,-4374534,-4383826,-4391939,-4404085,-4414674,-4425820,-4437524,-4448295,-4461113,-4474489,-4489923,-4507606,-4525040,-4540645,-4556808,-4575653,-4595823,-4612784
-4952134,-4908200,-4862249,-4823282,-4779245,-4740492,-4698370,-4657205,-4616998,-4578465,-4542406,-4505071,-4468693,-4429120,-4394192,-4360686,-4328137,-4296545,-4268534,-4238857,-4210138,-4182375,-4155570,-4122943,-4095642,-4066271,-4039053,-4017035,-3997307,-3978711,-3959659,-3941390,-3930961,-3920090,-3901094,-3888126,-3880650,-3874573,-3863085,-3852555,-3848215,-3836959,-3831760,-3825059,-3820233,-3815446,-3814567,-3805970,-3804055,-3800588,-3802633,-3800185,-3801696,-3798622,-3799461,-3804248,-3803736,-3810437,-3813912,-3819701,-3830305,-3840835,-3855516,-3871153,-3888491,-3909157,-3930862,-3946930,-3960672,-3978493,-3997639,-4017743,-4038804,-4062099,-4085075,-4104377,-4128353,-4157920,-4184724,-4212487,-4242741,-4266775,-4297939
-4956674,-4911701,-4875096,-4835949,-4793166,-4749893,-4711766,-4679105,-4642711,-4604761,-4569715,-4539714,-4511071,-4475909,-4444714,-4415883,-4386421,-4358309,-4330580,-4307247,-4283551,-4258422,-4234159,-4215151,-4196543,-4178562,-4157766,-4137836,-4118772,-4100575,-4086984,-4070520,-4056818,-4044752,-4034448,-4021450,-4009318,-4000246,-3989848,-3976763,-3970281,-3962482,-3955550,-3947204,-3948110,-3948202,-3949804,-3943158,-3938906,-3937164,-3931398,-3929171,-3929855,-3937092,-3946268,-3950600,-3955800,-3961865,-3968797,-3981884,-3991175,-4006416,-4016815,-4022504,-4029641,-4043070,-4060472,-4070346,-4085033,-4101226,-4118557,-4131487,-4151541,-4167012,-4189274,-4213887,-4236416,-4258809,-4280474,-4307895,-4331975,-4354769,-4382547
-4868025,-4740300,-4605644,-4465867,-4332024,-4205784,-4082349,-3969120,-3851296,-3736278,-3637403,-3540513,-3433910,-3330113,-3229121,-3130934,-3035553,-2925468,-2835697,-2737613,-2648450,-2572171,-2492237,-2416493,-2339982,-2283434,-2216106,-2148824,-2087107,-2036483,-1965509,-1912208,-1873410,-1830668,-1795069,-1752989,-1724868,-1688399,-1654735,-1623876,-1613271,-1570765,-1558012,-1520682,-1503850,-1489824,-1479000,-1488787,-1495793,-1492988,-1492988,-1495793,-1519246,-1543608,-1554829,-1573900,-1588236,-1591363,-1594304,-1619552,-1643432,-1674291,-1710791,-1747260,-1786535,-1811482,-1843498,-1891188,-1937321,-2004067,-2060173,-2101865,-2172153,-2241615,-2312466,-2401806,-2467802,-2543657,-2612790,-2694144,-2777742,-2869723,-2954008
