1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-4850866,-4715691,-4659524,-4552813,-4448373,-4379319,-4279420,-4181791,-4086432,-4055843,-3965026,-3802049,-3725810,-3641804,-3560068,-3480602,-3420395,-3309891,-3314469,-3272679,-3239963,-3223371,-3198976,-3186924,-3142757,-3085996,-2987820,-2884488,-2834539,-2786859,-2741450,-2714963,-2674095,-2635497,-2567585,-2498035,-2478247,-2484195,-2514239,-2511734,-2416909,-2396475,-2378312,-2362419,-2308806,-2299139,-2361351,-2279215,-2274674,-2229383,-2156936,-2145704,-2105883,-2056560,-2065642,-2147566,-2183374,-2199267,-2167823,-2109428,-2132354,-2157329,-2109352,-2058299,-2090085,-2124142,-2195646,-2225317,-2330424,-2435795,-2481204,-2546969,-2600981,-2667486,-2655772,-2783902,-2914416,-3052605,-3126977,-3203632,-3193957,-3233406,-3335372
-4866478,-4710106,-4581925,-4383578,-4190178,-4110886,-3918134,-3814720,-3702561,-3672367,-3565549,-3380444,-3270057,-3171251,-3057535,-2964070,-2962264,-2783513,-2698059,-2685001,-2612319,-2534877,-2525502,-2453400,-2448856,-2355484,-2359867,-2265835,-2138004,-2089280,-2035871,-1985133,-1900370,-1860488,-1878860,-1802913,-1765526,-1767954,-1735909,-1755555,-1747206,-1647513,-1584792,-1650522,-1647962,-1643561,-1559135,-1542739,-1537398,-1620307,-1620307,-1556176,-1529471,-1613825,-1539022,-1552374,-1546537,-1490578,-1542777,-1566811,-1593516,-1557719,-1642741,-1742939,-1754034,-1794091,-1836818,-1800715,-1848783,-1820922,-1843738,-1839833,-1898583,-1991204,-2030731,-2097492,-2166924,-2311786,-2386558,-2464001,-2544115,-2619651,-2641760
-4918780,-4768328,-4620947,-4476636,-4389170,-4175400,-3961020,-3787723,-3658765,-3557492,-3385695,-3265948,-3149271,-3102896,-3057234,-3019919,-2915524,-2868025,-2741355,-2543513,-2381440,-2292397,-2206425,-2184346,-2112875,-2036114,-1933638,-1863018,-1883800,-1733149,-1671740,-1648468,-1633558,-1589609,-1510183,-1464127,-1378099,-1338184,-1301338,-1320277,-1367900,-1340266,-1315702,-1361633,-1275437,-1247032,-1234750,-1225539,-1272042,-1348379,-1348379,-1382251,-1425424,-1434636,-1354654,-1357133,-1393439,-1414932,-1414860,-1396266,-1331708,-1333666,-1323761,-1403699,-1446685,-1588942,-1539159,-1591357,-1745005,-1909490,-1970899,-1984597,-2089238,-2159858,-2150428,-2119870,-2199701,-2232498,-2318471,-2407513,-2444056,-2618628,-2716882
-4826478,-4740849,-4557631,-4394520,-4234880,-4184906,-4092211,-3861940,-3716181,-3686219,-3563576,-3441644,-3390143,-3261737,-3066107,-2944642,-2874648,-2865881,-2754827,-2591432,-2487319,-2354533,-2257361,-2163659,-2073427,-1954669,-1871379,-1688358,-1612008,-1481791,-1531638,-1510517,-1398289,-1299296,-1243769,-1191712,-1127838,-1126603,-1130180,-1092005,-1057301,-1083749,-1055985,-1016358,-1093537,-1096299,-1011737,-997538,-990597,-1068245,-1068245,-1182235,-1141418,-1151830,-1048307,-956166,-976988,-1001282,-1029045,-1113096,-1251463,-1333442,-1375088,-1377868,-1542610,-1594667,-1594456,-1653454,-1715922,-1781860,-1812231,-1965404,-2028851,-2197591,-2209494,-2270979,-2275547,-2358453,-2373376,-2428546,-2532660,-2642292,-2711150
-4922604,-4627999,-4575710,-4406028,-4197865,-4150361,-3844412,-3559026,-3396467,-3157313,-3002495,-2930654,-2783577,-2736597,-2615561,-2499041,-2457382,-2267912,-2144058,-2024074,-1907961,-1795718,-1687345,-1582843,-1482212,-1443107,-1421826,-1248870,-1027527,-946247,-919951,-753644,-575744,-565772,-437775,-477968,-492468,-345045,-218704,-164397,-113237,51210,5148,-30937,5794,-32755,98130,138817,141721,29775,84936,128965,42370,-50020,-65502,-84854,-91994,-157158,-254431,-375663,-414367,-555394,-692367,-742683,-871418,-929475,-998155,-993202,-1062870,-1045498,-987321,-1068601,-1108588,-1150049,-1298514,-1298913,-1399545,-1504047,-1654010,-1809508,-1979179,-2099163,-2223017
-4762615,-4553363,-4460598,-4404193,-4174403,-3982233,-3898206,-3627993,-3464863,-3170220,-2930389,-2726290,-2596775,-2313661,-2159925,-2147371,-1961105,-1698995,-1562340,-1429957,-1296944,-1240587,-1121014,-1057450,-954985,-848224,-662668,-564448,-596421,-506741,-421332,-449643,-506030,-363865,-146502,36683,-12874,42641,31293,149012,85563,68387,14634,112648,138270,159622,207418,220230,366924,371195,346262,467059,344769,226763,306736,337449,449911,313655,279491,220946,29040,-93412,-19979,-75495,-287297,-351354,-419681,-466125,-522569,-603708,-832376,-922055,-1016005,-1017084,-1228240,-1239263,-1350294,-1464485,-1498232,-1622075,-1800653,-1913741,-2004819
-4792822,-4563970,-4425758,-4333382,-4118542,-3844200,-3506810,-3451336,-3270706,-3243006,-3056188,-2987812,-2658618,-2327831,-2112645,-1949180,-1858322,-1715677,-1566223,-1479224,-1339111,-1203668,-1219320,-1007068,-885636,-927352,-736458,-641773,-468462,-236239,-161589,-161505,77067,137733,207392,277449,203946,264662,198351,325003,470005,636961,717980,896992,925015,1011297,1140522,1207959,1161429,1241373,1297826,1207394,1198053,1265232,1246551,1223198,1280792,1248099,1210735,1248518,1172556,1235324,1298854,1238138,1234166,1164109,1048736,901838,902132,856325,762916,623518,682237,723051,614940,498179,494905,524250,362373,113991,-145934,-457243,-605729
-4746478,-4340864,-4025880,-3733441,-3448316,-3220146,-2997046,-2888348,-2563286,-2286012,-1970645,-1777845,-1744627,-1610227,-1292283,-1114818,-1101396,-776637,-614383,-457199,-299175,-331346,-49952,142284,287020,488275,630536,662112,938198,903651,1071691,1168029,1293723,1304455,1260227,1336283,1444815,1510731,1571577,1517385,1595551,1476074,1525464,1680786,1877985,1941677,1961958,2135583,2316747,2443026,2443026,2460087,2583888,2568676,2468842,2598895,2568473,2654086,2481673,2273830,2114330,2058555,1919409,1691663,1705064,1629007,1504298,1245748,1154480,1023705,1063491,1132236,956082,839462,701620,455994,458890,321988,180015,32972,-291959,-274453,-593436
-4785412,-4701807,-4439226,-4127919,-3876279,-3519229,-3278530,-2969791,-2740032,-2343649,-2225538,-2012190,-1735906,-1446171,-1134666,-882404,-591298,-410773,-235719,-66135,170382,329025,482197,470017,612249,749010,852328,978149,1098499,1091244,1120343,1224281,1167094,1312586,1497783,1704196,1950785,2021901,2069972,2048503,2216326,2267282,2314376,2352669,2294589,2469294,2512448,2533019,2513293,2467832,2549300,2734018,2723077,2538939,2395566,2343957,2311134,2405689,2237168,2052551,1997846,1805290,1739645,1668529,1417399,1498628,1498494,1340714,1233088,1137189,1027780,759914,790704,601141,469850,158354,16123,-131579,-284752,-443395,-502492,-672076,-897589
-4706478,-4555352,-4390804,-4025414,-3755374,-3304955,-3230790,-3133760,-2887201,-2646513,-2366024,-2137077,-1882821,-1665615,-1454279,-1103355,-1022079,-822759,-634905,-505652,-436501,-108518,-5899,152603,248868,395629,543851,678872,808021,931301,991275,961544,1067213,1143632,1199168,1287225,1430614,1549870,1640942,1705517,1871500,1924334,1769294,1810387,1927901,1957253,2129454,2147065,2352043,2156077,2156077,2000421,1833430,1865913,1779784,1825160,1618263,1577170,1635743,1598247,1539542,1306841,1236396,1328443,1246257,1089621,929966,892896,787228,675689,543724,416173,399329,264309,123418,99456,-53175,-344557,-508930,-507149,-595139,-590434,-778289
